Gene set,Score,n,events,HR per SD,95% CI lower,95% CI upper,Cox p,Log-rank p,C-index
H2C (37),PCA (OOS),866,132,0.9731213633361634,0.8534514265096578,1.1095712753730074,0.6840332024944361,0.9211365896090192,0.7270709078860172
H2C (37),Cox-beta (OOS),866,132,1.226482935459506,1.073566265402737,1.401180755627655,0.002657886466565,4.560664580873735e-07,0.7667992047713718
Euclidean Top37,PCA (OOS),866,132,1.062422765850541,0.9241526447693528,1.2213806234133773,0.3946709073700074,0.0127431770357078,0.7257786613651425
Euclidean Top37,Cox-beta (OOS),866,132,1.1271453562499545,0.9815654664225186,1.2943167802614644,0.0898357206314672,0.0012277748760831,0.7276010603048376
Random 37,PCA (OOS),866,132,0.964445947939386,0.8413656126651379,1.1055312607206602,0.6032712546501668,0.2223532137618372,0.7351557322730286
Random 37,Cox-beta (OOS),866,132,1.048945925687649,0.8972454571048084,1.2262949300039674,0.5487987218046964,0.0011767779773526,0.7331345261762757
