Feature set,Classifier,AUC mean,AUC SD,F1 mean,F1 SD,Accuracy mean,Accuracy SD,n folds,n features
Euclidean Top200,RF,0.9988484729956942,0.0016257035681696,0.9932329459829778,0.0051270031540095,0.9877142572430374,0.0092703813067488,5,200
Euclidean Top200,LogReg,0.9989906319196048,0.0013929103377095,0.9927396107908932,0.004729141097892,0.98689458511189,0.0085159767053957,5,200
TDA Top200,RF,0.9981382373454734,0.002019434057014,0.9905431194350584,0.0061348091921549,0.9826636906348396,0.011249760882644,5,200
TDA Top200,LogReg,0.9814903210484308,0.0120324485962367,0.9819656685067428,0.006407698578132,0.9677152682718336,0.0111388630474298,5,200
"H2C (candidate, 37)",RF,0.9814464005073088,0.0093660799529412,0.973846816206162,0.0046849338056288,0.9513929800426196,0.0087587254295645,5,37
"H2C (candidate, 37)",LogReg,0.7028633527987035,0.0303116407188207,0.9477002410381408,0.0044675776267506,0.9007042512163377,0.0080995984406754,5,37
Latent 32d,LogReg,0.899515140258816,0.018245348174123,0.94863601078466,0.0035889203295692,0.9023829525694164,0.0065553989226092,5,32
Latent 32d,RF,0.8276626604706072,0.0835797782627312,0.9545929297407902,0.0057021352345985,0.91485045394418,0.0108352641497356,5,32
