feature_set,classifier,n_folds,auc_mean,auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,n_features_mean,n_features_std
Euclidean_top200_train,LogisticRegression,5,0.9989906319196049,0.0013929103377095982,0.9927396107908931,0.004729141097892003,0.98689458511189,0.008515976705395742,200.0,0.0
Euclidean_top200_train,RandomForest,5,0.9988484729956942,0.0016257035681696084,0.9932329459829778,0.005127003154009566,0.9877142572430374,0.009270381306748858,200.0,0.0
H2C_train_rule_top37,LogisticRegression,5,0.7028633527987035,0.030311640718820757,0.9477002410381408,0.004467577626750626,0.9007042512163377,0.008099598440675471,37.0,0.0
H2C_train_rule_top37,RandomForest,5,0.9814464005073089,0.009366079952941279,0.973846816206162,0.004684933805628896,0.9513929800426195,0.00875872542956458,37.0,0.0
Latent_32d_fold_combat,LogisticRegression,5,0.899515140258816,0.01824534817412305,0.9486360107846599,0.003588920329569233,0.9023829525694163,0.006555398922609237,32.0,0.0
Latent_32d_fold_combat,RandomForest,5,0.8276626604706072,0.08357977826273123,0.9545929297407902,0.0057021352345985685,0.9148504539441799,0.01083526414973569,32.0,0.0
TDA_top200_train,LogisticRegression,5,0.9814903210484307,0.012032448596236771,0.9819656685067427,0.006407698578132008,0.9677152682718335,0.011138863047429894,200.0,0.0
TDA_top200_train,RandomForest,5,0.9981382373454734,0.002019434057014092,0.9905431194350584,0.0061348091921549185,0.9826636906348396,0.011249760882644087,200.0,0.0
