gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LOC641367,1.6463976,1,0.60605884,0.5456632,18943
TSC22D4,1.3936703,2,-0.23635492,0.81358796,20139
XPNPEP2,1.387886,3,-10.792423,1.3951187e-18,3808
RGS7,1.3345753,4,8.066215,1.0624682e-14,5024
LOC388942,1.314261,5,-1.3861145,0.16790389,16702
SLC1A1,1.3032123,6,5.6874857,2.5730836e-08,8108
CLEC5A,1.2956564,7,22.350952,0.0,188
ATP12A,1.255734,8,-0.4924406,0.6230986,19276
CXCR4,1.2525089,9,6.560087,1.7261631e-09,7399
CG030,1.2439402,10,-6.882239,3.732441e-10,7009
ZNF853,1.2272981,11,-6.2571874,5.5571463e-09,7693
MAEA,1.224176,12,2.7714317,0.006314143,13515
SPAG8,1.2190843,13,-4.1076703,6.035617e-05,10961
CLP1,1.2138898,14,0.86972594,0.38589337,18154
MIR892A,1.1852844,15,0.19676162,0.8443652,20251
FCGR2A,1.1841118,16,3.6116157,0.00045618069,11885
LIPH,1.1704366,17,2.3035598,0.023190018,14534
ZFP1,1.1615922,18,-4.6047926,1.0108852e-05,10170
PFKL,1.1604493,19,6.523292,1.2475065e-09,7311
MIR1207,1.1578665,20,1.754595,0.081946366,15740
LOC100505679,1.1425622,21,-6.55199,1.9928632e-09,7438
SOST,1.1364843,22,2.704093,0.007465124,13617
AMPD1,1.1319095,23,-9.414387,1.4562058e-15,4717
DHRS2,1.1313097,24,2.1028597,0.037661653,14961
CCDC144C,1.1300728,25,-2.490994,0.014120824,14104
SNORD110,1.1252265,26,0.27334338,0.7850828,20007
LOC100506668,1.1165175,27,12.230803,4.3700047e-26,2178
KIR2DS4,1.1153407,28,-2.3819184,0.018975912,14362
SNORA26,1.1027782,29,5.3295426,5.13521e-07,9077
DTX1,1.1024536,30,-14.172988,1.22401376e-26,2091
SZT2,1.1006396,31,-8.352819,1.2019908e-13,5447
ADRA1D,1.0964384,32,-2.4074366,0.01726245,14285
