gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LOC641367,1.3372093,1,0.6322094,0.5285061,18850
TSC22D4,1.1130698,2,-0.46884984,0.6400683,19346
XPNPEP2,1.1100959,3,-11.038398,4.014868e-19,3675
RGS7,1.0761281,4,6.1414394,3.4590504e-09,7610
LOC388942,1.0448997,5,2.045378,0.041393068,15062
CLEC5A,1.0434799,6,23.494204,0.0,133
SLC1A1,1.0335711,7,6.527009,2.2369287e-10,6958
ATP12A,1.0109224,8,-0.33380046,0.738975,19796
CXCR4,0.9968141,9,7.789086,2.947732e-12,6044
CG030,0.9912243,10,-6.553987,1.7813632e-09,7430
ZNF853,0.9881419,11,-6.4976935,1.6004149e-09,7412
SPAG8,0.9795998,12,-5.3746605,2.366932e-07,8836
CLP1,0.9743674,13,0.7945898,0.4281063,18354
MAEA,0.9684007,14,2.1857612,0.030442718,14797
MIR892A,0.96164405,15,-0.57039213,0.56971014,19035
FCGR2A,0.9501914,16,3.5575113,0.0005486408,11950
LIPH,0.9354819,17,1.810446,0.07296058,15651
MIR1207,0.9278994,18,2.9905849,0.0033303045,13008
PFKL,0.9272459,19,6.356227,2.54559e-09,7533
ZFP1,0.919253,20,-4.4056435,2.2559305e-05,10515
LOC100505679,0.91924405,21,-6.499148,2.6058908e-09,7538
AMPD1,0.91214085,22,-9.4587,1.0646025e-15,4687
DHRS2,0.9108486,23,1.9855398,0.0493057,15243
CCDC144C,0.9103236,24,-2.2257178,0.027872743,14718
SNORD110,0.91010314,25,0.49274042,0.62312216,19273
SOST,0.9078254,26,0.89291227,0.37380633,18085
LOC100506668,0.88458323,27,11.15315,1.186179e-22,2854
DTX1,0.8840344,28,-14.453475,2.1605194e-27,2038
KIR2DS4,0.88330185,29,-2.1844628,0.031048952,14814
ADRA1D,0.8815499,30,-3.1327276,0.002097133,12733
SZT2,0.8802613,31,-7.6828732,6.401026e-12,6205
SNORA26,0.87512004,32,5.346219,4.684084e-07,9073
ADARB2,0.87134486,33,-3.235636,0.001513935,12553
LOC100506071,0.86121434,34,2.016304,0.045585774,15163
PROKR2,0.8608017,35,2.698838,0.0072744153,13602
FAM160B1,0.8549957,36,-6.3587523,4.808902e-09,7698
DSCR6,0.8518118,37,20.79256,0.0,334
MIR15A,0.8448092,38,7.1789823,8.405264e-12,6254
GZF1,0.8443283,39,3.1467755,0.002030634,12712
LOC100129518,0.8389423,40,-7.115276,8.222382e-11,6707
NSUN7,0.83002186,41,-1.7032024,0.09138699,15908
MIR132,0.82670027,42,-0.46477228,0.6430389,19361
SLC7A4,0.8265525,43,-4.4660406,1.3451922e-05,10295
LOC100506585,0.8265435,44,1.4076939,0.1619144,16687
MIR4281,0.8255689,45,-0.081421375,0.93525887,20595
CDK16,0.8245491,46,13.097212,6.573907e-29,1844
LOC283663,0.82147884,47,-0.50314754,0.6157669,19238
SLC2A4,0.82082605,48,-16.064495,4.4068828e-30,1712
C10orf107,0.8204653,49,-3.4006536,0.0008649363,12227
LOC284688,0.8157964,50,-4.409162,2.4507644e-05,10541
SEMA4G,0.8142016,51,0.9617948,0.33802196,17894
