gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LOC641367,1.0170624,1,1.1739795,0.24281502,17076
XPNPEP2,0.8622425,2,-11.294212,1.5686985e-19,3370
TSC22D4,0.8512543,3,-0.66939205,0.50467557,18631
RGS7,0.83357954,4,6.3731294,9.67841e-10,7018
LOC388942,0.80829877,5,1.7984563,0.072755866,15513
SLC1A1,0.80205834,6,5.5561805,5.9567533e-08,8107
CLEC5A,0.7950429,7,23.281652,0.0,119
CXCR4,0.7746116,8,7.447809,2.071172e-11,6170
MAGI2,0.77097636,9,-9.770274,2.3683418e-18,3679
CG030,0.7696107,10,-6.0197244,2.4047358e-08,7846
ATP12A,0.7616607,11,-0.30584738,0.76013374,19829
ZNF853,0.76038694,12,-5.943668,2.537153e-08,7867
CLP1,0.74864703,13,1.0266104,0.30640873,17501
SPAG8,0.74457586,14,-4.453938,1.5286154e-05,10056
MAEA,0.7424663,15,2.4559593,0.01535704,13994
MIR892A,0.7345672,16,-0.41743958,0.6772414,19463
FCGR2A,0.7335186,17,2.902889,0.0044761463,13098
ZFP1,0.7175064,18,-2.8395169,0.005265681,13216
LIPH,0.71610487,19,2.3864212,0.018801695,14180
MIR1207,0.7142987,20,4.1564074,5.193646e-05,10587
PFKL,0.7098335,21,5.4891987,1.9994727e-07,8499
LOC100505679,0.7040605,22,-5.7790136,8.146169e-08,8191
AMPD1,0.7022972,23,-9.102043,8.5217046e-15,4737
DHRS2,0.69884735,24,2.428444,0.016683182,14069
SOST,0.69874215,25,0.7272953,0.46861258,18438
SNORD110,0.69452477,26,0.9678596,0.33524436,17686
CCDC144C,0.691757,27,-1.856477,0.06581251,15385
KIR2DS4,0.6895369,28,-2.0732768,0.04061245,14898
LOC100506668,0.68623513,29,11.772381,3.1144925e-24,2337
DTX1,0.6818396,30,-14.445641,3.853508e-27,1877
SZT2,0.67947185,31,-7.789303,2.8986865e-12,5745
ADRA1D,0.6765646,32,-2.4076388,0.017125502,14096
PROKR2,0.6722913,33,2.9394894,0.0035103483,12925
SNORA26,0.67205,34,5.67001,1.14332444e-07,8302
LOC100506071,0.6705072,35,1.4334728,0.15396489,16390
ADARB2,0.6659975,36,-3.0317218,0.0028947135,12791
FAM160B1,0.66222674,37,-5.304835,6.377889e-07,8866
MIR15A,0.65809786,38,6.8650346,5.078538e-11,6360
GZF1,0.6545406,39,3.614275,0.0004283116,11619
DSCR6,0.6535883,40,19.555065,0.0,402
CDK16,0.6411551,41,13.966248,2.3476367e-31,1406
LOC100129518,0.6386807,42,-6.6286526,1.0387806e-09,7043
MIR132,0.63705343,43,-0.513465,0.6087291,19132
NSUN7,0.6368457,44,-1.3146133,0.1914695,16715
C10orf107,0.63134015,45,-2.758764,0.0065762196,13358
SLC7A4,0.6311461,46,-5.671489,5.5447387e-08,8088
LOC283663,0.6299925,47,-0.3784989,0.70575565,19595
MIR4281,0.6288856,48,0.34750688,0.7288858,19705
SLC2A4,0.6287241,49,-15.239961,5.8339552e-28,1758
LOC90246,0.62695926,50,-0.8786941,0.38062447,17947
LOC284688,0.6253106,51,-4.2661242,4.505486e-05,10520
SLC30A4,0.62510103,52,-4.573316,1.2485549e-05,9951
LOC100506585,0.6232831,53,0.6388887,0.5242253,18720
GPR82,0.6216716,54,2.2120745,0.028919384,14570
PMPCA,0.61979043,55,6.6625686,4.662374e-10,6833
C1orf151-NBL1,0.61878693,56,2.0860686,0.03919029,14865
CCDC109B,0.61827385,57,6.9167066,1.6038637e-10,6596
SEMA4G,0.6181775,58,1.4730561,0.14335226,16316
EPHA7,0.6180949,59,-7.121322,6.768657e-11,6408
JMJD6,0.6162777,60,-1.1983519,0.23311335,17024
MIR1203,0.6149999,61,2.3894958,0.018382309,14156
AQP2,0.6139274,62,-3.4267805,0.00085377874,12019
PROP1,0.6105292,63,1.833539,0.06939812,15444
MIA2,0.6084528,64,-3.9335096,0.00016030761,11093
FFAR2,0.60769004,65,1.946226,0.05393764,15157
C10orf113,0.6073736,66,-0.11337893,0.9099561,20463
CGN,0.6054728,67,5.163701,1.253378e-06,9093
MIR4271,0.60510385,68,-5.2685947,7.892172e-07,8944
STX12,0.6038681,69,-11.001359,4.2920094e-19,3487
CLCA3P,0.6035935,70,-5.282851,7.3896734e-07,8915
MAG,0.6025371,71,4.155596,6.0152222e-05,10640
C22orf24,0.60209644,72,-1.4702687,0.14425728,16325
FBLN1,0.6018727,73,-8.176935,4.6120383e-13,5422
ZC3H6,0.6013509,74,-8.312744,1.925637e-13,5272
SERPINB3,0.59918165,75,0.53918934,0.5906784,19045
GPR98,0.59846467,76,-0.66408354,0.5079171,18646
AZGP1P1,0.5984097,77,4.542226,1.3544658e-05,9990
VTRNA2-1,0.5975044,78,-3.5351634,0.0006330113,11860
SPCS3,0.5919889,79,-0.48935828,0.62545365,19200
CPNE3,0.5913359,80,4.0896206,7.2025075e-05,10723
C14orf182,0.59036267,81,7.5452323,2.926574e-12,5748
SCOC,0.5901938,82,2.4811952,0.014301104,13927
C5orf28,0.58704495,83,2.533561,0.012705694,13838
NRADDP,0.586833,84,-3.061654,0.0027790365,12765
LACE1,0.5868126,85,-1.8688854,0.06379999,15353
P2RY14,0.58668315,86,-9.292128,2.7225399e-15,4558
ZNF653,0.5851902,87,4.1934566,5.2468404e-05,10596
ADRA1A,0.5764711,88,-11.00553,1.240407e-18,3596
AOC4,0.57624143,89,-11.085625,8.3094594e-19,3556
LOC81691,0.573576,90,6.38272,1.6484244e-09,7172
NUBP1,0.5734291,91,7.7803674,9.376727e-13,5549
LOC100132352,0.572796,92,-11.764874,4.9382834e-22,2782
DNTT,0.5723521,93,-0.019857563,0.9841977,20770
SPDYE6,0.5714815,94,2.6207285,0.0099487705,13651
SCFD2,0.5714797,95,-1.770409,0.07877802,15594
ADAMTS19,0.5714141,96,8.167972,1.3667411e-14,4813
RFX6,0.5704247,97,-5.347485,5.4754076e-07,8814
HHEX,0.56957984,98,-2.4446578,0.015999673,14033
TXNDC15,0.56795794,99,-4.192644,4.7927137e-05,10549
SPG21,0.5676197,100,7.4103837,1.04029875e-11,6006
LOC100506930,0.567308,101,10.421982,2.1194963e-19,3406
CNIH,0.56605494,102,4.2114234,4.685997e-05,10537
F2RL2,0.5657548,103,8.791274,1.1615684e-14,4791
UROS,0.56570035,104,9.91511,1.2515921e-18,3600
ARL13A,0.56488466,105,-4.6585126,8.949755e-06,9826
AGPAT4-IT1,0.56386775,106,-7.971139,1.7629132e-12,5669
PSMA8,0.56312156,107,-2.1247551,0.035147257,14759
RAP1GAP,0.5616295,108,4.1231327,7.615751e-05,10752
CIITA,0.56063366,109,-0.91005254,0.36441398,17850
NR2E1,0.56007284,110,0.5776386,0.56408113,18919
DEFB115,0.5590178,111,0.5236844,0.601546,19101
PRAMEF11,0.5578821,112,-0.38837606,0.6985804,19567
LEPROT,0.55748767,113,-12.4522705,1.2462568e-22,2665
HTR5A,0.5568344,114,-1.1061758,0.27130982,17267
LOC399708,0.55674666,115,4.1053295,4.7789246e-05,10545
LARP4B,0.5554371,116,7.487447,9.526715e-12,5998
SLC25A20,0.55509746,117,-9.643316,3.5080235e-16,4274
DNMBP,0.55509216,118,-7.6058764,1.345489e-12,5615
PARD3B,0.55491257,119,-9.3805065,2.1638325e-15,4516
MKL1,0.55428815,120,-4.47186,1.949665e-05,10164
MSL3,0.5539022,121,-0.2935651,0.769518,19865
LETMD1,0.55311143,122,-12.312864,5.141892e-22,2786
MYO10,0.55213207,123,1.7963375,0.074263275,15530
OR2D3,0.5494622,124,-0.4403785,0.66054016,19374
BCRP3,0.5494621,125,0.3935403,0.69458103,19555
SNRPA,0.54928887,126,3.686777,0.00033537365,11485
GLRX3,0.54923034,127,7.189909,1.9271865e-11,6146
LOC100506274,0.54904443,128,-2.0391815,0.043871727,14989
CYP4F2,0.5483898,129,4.05937,8.218639e-05,10793
LOC100506660,0.5467968,130,11.393431,1.2375712e-22,2663
WASF2,0.54667807,131,-15.874118,6.1094497e-32,1351
LOC100128496,0.5459514,132,3.2516358,0.0013956085,12322
LOC100507362,0.5458175,133,0.8520081,0.39594966,18039
LOC100132354,0.54541814,134,11.64945,3.9485572e-29,1629
SLC29A1,0.54466534,135,-9.732678,9.197698e-18,3833
ACCN1,0.54445297,136,2.5225024,0.01237002,13818
TRPM8,0.5438599,137,2.8829362,0.004277914,13064
MIR548T,0.5433807,138,-0.12842256,0.89807725,20412
GDF11,0.54331136,139,4.595144,9.463907e-06,9846
LOC284080,0.5417915,140,-4.845714,3.7986538e-06,9499
FAM183B,0.54091156,141,6.660127,3.1763062e-10,6740
ARHGEF33,0.5405943,142,-6.1857257,8.696455e-09,7586
ITGB2,0.53901744,143,3.3080778,0.0012595538,12259
MARCO,0.5379254,144,-9.7687435,1.2674221e-16,4132
DGKK,0.5376537,145,1.5151509,0.13214454,16208
APCS,0.5363938,146,3.449894,0.0005852012,11806
MSTO1,0.53545374,147,3.490965,0.0006824667,11901
DRG2,0.53462565,148,-5.234584,5.5617636e-07,8818
C22orf32,0.5336405,149,-5.105539,1.2775912e-06,9099
MAGEA3,0.5330485,150,8.955261,1.7748568e-18,3635
IFT140,0.5321872,151,5.5448174,1.6506694e-07,8421
LOC283710,0.53169435,152,1.5599227,0.121216536,16109
LOC100507489,0.53048646,153,-4.521652,1.4103509e-05,10015
LINC00273,0.5300294,154,3.8916945,0.00015651068,11076
KCTD12,0.52959836,155,-16.50876,1.1152933e-33,1174
LOC283089,0.5290598,156,-3.188493,0.0017275352,12457
C9orf5,0.5261253,157,-10.316872,1.32293775e-17,3884
FLJ31485,0.5248053,158,-14.061414,1.6803551e-28,1696
ZSCAN23,0.52459735,159,-7.411163,3.0410695e-11,6251
AXDND1,0.5231271,160,7.833153,3.1016105e-13,5350
KLHL7-AS1,0.5224822,161,-2.6669257,0.008790586,13567
CHRNA1,0.5220169,162,6.4746556,2.7951361e-09,7309
MIR3192,0.5218462,163,-2.8667533,0.0050096596,13181
MBD3L3,0.5202527,164,0.18526275,0.85338354,20229
RAD54B,0.5195811,165,18.301916,0.0,512
ETF1,0.5192839,166,-5.180423,8.8672067e-07,8972
ODZ2,0.51878965,167,-9.194901,3.1561149e-15,4584
PLAC1L,0.5187607,168,-0.07769285,0.9382209,20583
PLSCR4,0.51865274,169,-18.744843,7.362021e-39,786
RTKN2,0.518564,170,15.360595,1.6527326e-31,1388
CCDC61,0.51772034,171,0.8861119,0.37706426,17923
C9orf139,0.51758665,172,4.449758,1.9950103e-05,10170
LOC100507577,0.51733077,173,-6.4330907,2.2383255e-09,7249
FRY,0.51601493,174,-11.561638,3.557865e-23,2544
CCDC37,0.51568997,175,0.6126376,0.540871,18806
DEFB131,0.51517713,176,-1.0486277,0.29688305,17430
DUSP21,0.5148107,177,-0.7388275,0.4617096,18402
MIR1468,0.51279205,178,-0.51311326,0.60910577,19137
MADCAM1,0.5120755,179,3.7180922,0.0002667942,11371
CDH9,0.5111665,180,-0.054561056,0.95658237,20654
MNX1,0.5108404,181,11.892431,5.8026867e-27,1901
LOC339975,0.51081616,182,-1.62318,0.10727692,15964
C8orf37,0.51018465,183,1.9737139,0.05062539,15100
PCDP1,0.5092489,184,6.7525754,1.166994e-10,6528
MPZ,0.50915515,185,-10.590742,1.0172279e-18,3578
SNORA49,0.5088912,186,-0.80061233,0.42513934,18191
CYP26A1,0.50862265,187,-1.5131757,0.13336508,16225
LOC219347,0.5065955,188,0.017806992,0.9858202,20779
ABCG4,0.50658536,189,-0.015037805,0.98802596,20791
LOC100233209,0.50636524,190,1.7119131,0.08892054,15732
KHSRP,0.50606847,191,4.1230464,6.911628e-05,10704
PTCD2,0.5059602,192,-2.081862,0.039232194,14866
LINC00548,0.5058725,193,-7.097791,2.44052e-10,6681
LOC100128946,0.5051575,194,-3.7692883,0.0002705032,11375
CYP1B1-AS1,0.5019306,195,-14.074036,4.945823e-27,1890
RFX4,0.5017704,196,-0.19904435,0.8423353,20185
MIR139,0.5002494,197,-1.7647238,0.080962956,15626
CYP4Z2P,0.5001564,198,2.188702,0.030497264,14608
GOLGA8IP,0.49984962,199,-9.1894045,6.639141e-15,4704
SLC39A9,0.49866587,200,8.323157,1.8323515e-14,4859
LOC221122,0.49858323,201,14.156369,3.0827607e-37,899
ANP32A-IT1,0.49853522,202,-3.754229,0.0002902994,11411
HIST2H2BC,0.4982908,203,14.558754,8.662798e-31,1462
LOC550112,0.49808776,204,1.4145861,0.15976883,16440
ACTN3,0.4980276,205,-1.9892356,0.04920448,15073
LOC100506046,0.49769026,206,-3.1400225,0.0020917808,12588
PTPRM,0.49642208,207,-12.10004,3.5244834e-22,2746
ACCN4,0.49515668,208,2.0376916,0.043466102,14978
RECQL4,0.4940984,209,22.207706,0.0,172
MADD,0.49385375,210,-0.19278234,0.84745616,20200
HHATL,0.49328622,211,-7.8910866,5.003767e-12,5861
C8orf22,0.49306747,212,-3.8027182,0.00025515092,11347
WWC1,0.49299628,213,-1.5799136,0.11729811,16068
TAS2R41,0.4928584,214,-0.5600673,0.576669,18977
COL14A1,0.49260527,215,-14.788818,5.148108e-31,1439
LOC678655,0.4910838,216,-0.26151958,0.79410803,19967
LOC100128822,0.49104545,217,-7.361455,1.1982932e-11,6039
AFM,0.49072373,218,-0.7178018,0.47398156,18463
STAMBP,0.4904495,219,3.1901295,0.0017748065,12474
CLEC4C,0.49014336,220,3.5125983,0.0006071293,11842
OR5AK2,0.4897768,221,-0.4686129,0.6402915,19277
BTNL9,0.48636103,222,-22.3812,0.0,159
LOC100507387,0.48628914,223,-4.127333,7.383391e-05,10735
VN1R10P,0.4862129,224,-3.1697009,0.0020434626,12571
