gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LOC641367,1.4940219,1,-0.4465218,0.65610754,19525
RGS7,1.1816885,2,5.058269,1.0833562e-06,9630
XPNPEP2,1.1627531,3,-11.144002,3.852483e-19,3868
CLEC5A,1.1261652,4,23.693647,0.0,148
TSC22D4,1.0824268,5,-0.7193215,0.47346857,18700
MIR892A,1.0627012,6,0.14232527,0.88709235,20444
ATP12A,1.0584183,7,-0.92331934,0.35771248,18121
SNORD110,1.029422,8,-0.010267501,0.99182576,20834
AMPD1,1.0229857,9,-9.075083,1.0692708e-14,5303
CLP1,0.9911082,10,0.7434697,0.45842135,18626
FCGR2A,0.988289,11,3.3191757,0.0012066588,12705
ZNF853,0.986093,12,-6.512114,1.5596892e-09,7686
LOC388942,0.98046637,13,0.5541878,0.5799443,19154
DHRS2,0.9736276,14,1.1871972,0.23768479,17416
CG030,0.96574783,15,-6.483808,2.7274605e-09,7833
CXCR4,0.94676954,16,8.871665,1.0215037e-14,5295
LOC100505679,0.9372285,17,-7.0530953,2.237983e-10,7239
SOST,0.92970014,18,1.0204244,0.30978274,17852
MIR1207,0.92734194,19,2.6482544,0.009159839,14014
CCDC144C,0.925706,20,-3.6060367,0.00047569445,12174
ADRA1D,0.9215686,21,-4.3990326,2.2589164e-05,10774
LIPH,0.9186032,22,1.6819999,0.09557932,16171
DTX1,0.91760576,23,-14.741116,1.0912599e-27,2086
SPAG8,0.90707636,24,-5.0722175,9.594721e-07,9604
ZFP1,0.906862,25,-4.5784082,1.1791615e-05,10512
SLC7A4,0.9040155,26,-6.3656673,1.4580829e-09,7675
DSCR6,0.8980392,27,19.588306,0.0,507
LOC100506585,0.8967455,28,0.9034513,0.36825353,18185
LOC100129518,0.88655126,29,-7.426048,2.491338e-11,6734
C1orf151-NBL1,0.882433,30,2.8088489,0.0058434033,13693
LOC283663,0.8820561,31,0.06759946,0.9461996,20671
MIR132,0.8721368,32,-0.051509265,0.95901835,20719
MIR4281,0.87048423,33,1.4024739,0.16336703,16841
PROP1,0.86990976,34,3.2152658,0.0016469554,12875
PFKL,0.8673363,35,6.0020866,1.5544167e-08,8330
LOC90246,0.8652551,36,-0.038287558,0.9694946,20756
ADARB2,0.8641908,37,-4.372982,2.619718e-05,10818
CDK16,0.8629329,38,12.826092,1.1365989e-28,1946
SEMA4G,0.8628619,39,0.54652184,0.58572954,19193
SLC1A1,0.8616507,40,6.098537,2.6497176e-09,7821
SZT2,0.8538608,41,-10.381618,1.1866388e-18,3999
MIR1203,0.8473045,42,1.6236184,0.10721827,16301
AOC4,0.845368,43,-11.208244,5.742091e-19,3904
C10orf107,0.8383638,44,-2.434723,0.016067706,14451
FBLN1,0.8367646,45,-8.9045725,8.377655e-15,5253
SNORA26,0.8359982,46,5.4697685,2.738525e-07,9195
C22orf24,0.82962793,47,-1.5763984,0.117723905,16430
ADRA1A,0.82344633,48,-11.982293,1.2818994e-20,3471
MAEA,0.8229837,49,3.2663565,0.0013618425,12773
AQP2,0.82289255,50,-2.274079,0.024579354,14797
TXNDC15,0.81595063,51,-4.669272,6.793716e-06,10309
LOC100132352,0.81076247,52,-13.465276,1.691024e-26,2279
JMJD6,0.80923855,53,-1.5931106,0.11347555,16378
ZC3H6,0.8075869,54,-9.712078,7.9727995e-17,4583
PMPCA,0.80468297,55,8.835861,4.1640314e-16,4819
C10orf113,0.80088997,56,0.052310698,0.95838535,20716
PSMA8,0.79888594,57,-1.6575226,0.099066176,16215
LETMD1,0.7962837,58,-13.315615,3.303072e-24,2664
SCOC,0.79585236,59,2.6928697,0.007836743,13896
LOC284688,0.7950317,60,-4.359012,3.1159787e-05,10885
GPR98,0.79462636,61,-1.3565218,0.17754775,16950
MIR548T,0.7941476,62,4.819458,1.6834017e-06,9809
VTRNA2-1,0.79352665,63,-3.324734,0.0012692343,12725
SNRPA,0.789508,64,4.1164813,6.62927e-05,11226
ADAMTS19,0.7888949,65,7.2697115,5.2076377e-12,6418
CCDC109B,0.7888367,66,7.7276535,1.8289972e-12,6233
SLC2A4,0.7880383,67,-15.074898,1.9855902e-27,2128
LOC81691,0.78787446,68,5.4287553,1.8227436e-07,9056
MIR15A,0.7822112,69,7.082651,1.4974634e-11,6611
PRAMEF11,0.7805458,70,-0.8790842,0.38155293,18247
GLRX3,0.77821195,71,6.0300627,9.673318e-09,8183
GZF1,0.7763971,72,2.780101,0.006131665,13728
MAG,0.7733289,73,4.2757206,3.833668e-05,10981
PROKR2,0.7707019,74,2.517456,0.012350146,14228
HHEX,0.7698344,75,-2.8600252,0.0050102705,13580
C14orf182,0.7691779,76,7.311062,1.43764904e-11,6601
FAM160B1,0.765663,77,-6.4854674,2.9815481e-09,7853
CNIH,0.7650963,78,3.6792285,0.00032830352,11984
SPCS3,0.76280385,79,-1.554719,0.12241277,16473
CIITA,0.75876427,80,-1.2868134,0.19995269,17148
CHRNA1,0.75763875,81,7.6156116,8.395388e-12,6504
MSL3,0.757635,82,-0.092430145,0.92647934,20606
FAM183B,0.75760543,83,7.3602524,3.7082646e-12,6361
NUBP1,0.75677836,84,8.246056,4.7105352e-14,5589
RFX6,0.75541866,85,-5.702373,1.1817778e-07,8903
P2RY14,0.7553439,86,-9.289225,3.1254385e-15,5107
MIR4271,0.7525538,87,-4.8845286,3.9988963e-06,10128
LOC100506668,0.7496923,88,11.439815,3.119737e-23,2859
MIA2,0.7411721,89,-3.4150333,0.0009426207,12559
DEFB131,0.7396606,90,0.34973913,0.727215,19818
MKL1,0.738644,91,-5.1365,1.291962e-06,9702
TRPM8,0.7383554,92,1.3103372,0.1915631,17069
CLEC4C,0.7379976,93,4.422509,1.9461508e-05,10717
CCDC61,0.7376671,94,1.1863406,0.2372886,17413
KIR2DS4,0.7362647,95,-1.9926493,0.048669003,15447
AZGP1P1,0.7335031,96,4.3030496,3.527439e-05,10941
NRADDP,0.73196757,97,-2.1234572,0.035976984,15148
SLC25A20,0.73154104,98,-9.901787,1.1925243e-16,4645
LACE1,0.7306094,99,-3.34465,0.0010572376,12623
LOC399708,0.7291409,100,3.7673736,0.00018582687,11698
RTKN2,0.7286933,101,17.507412,3.3456578e-38,990
NR2E1,0.7284131,102,-0.10181552,0.91901743,20570
MYO10,0.7283597,103,1.2656679,0.20730336,17189
GPR82,0.72729516,104,3.2029312,0.0017164928,12900
MADCAM1,0.7249568,105,3.3941705,0.0008175314,12474
LOC100507362,0.72474444,106,2.02805,0.044632446,15363
DNTT,0.7198297,107,2.4276865,0.016698306,14484
STX12,0.719699,108,-12.761548,4.9189617e-23,2902
LOC283710,0.71750844,109,1.7885418,0.07560479,15893
CYP26A1,0.7160295,110,-1.6025615,0.11220661,16368
DEFB115,0.7153628,111,3.4198687,0.0006633594,12359
SLC29A1,0.7131809,112,-11.788851,1.05403855e-23,2748
PTGDS,0.7124293,113,-13.307332,1.491035e-27,2110
FFAR2,0.7113185,114,1.8435605,0.0677697,15775
PCDP1,0.70913315,115,6.9386964,3.680831e-11,6822
C5orf28,0.70902836,116,2.1095746,0.037149776,15172
RAP1GAP,0.7089829,117,4.1010156,8.314328e-05,11344
LEPROT,0.70781523,118,-14.634605,1.3776861e-27,2104
NSUN7,0.707335,119,-1.888738,0.06169909,15676
HTR5A,0.7073207,120,-0.85938185,0.3921452,18297
KLHL7-AS1,0.7072145,121,-3.3951983,0.000961558,12572
EPHA7,0.70661277,122,-6.404873,2.7857328e-09,7837
LOC100128496,0.7028109,123,2.090291,0.038503047,15207
LOC100128946,0.7021799,124,-3.3634198,0.0010705342,12637
ROGDI,0.7017137,125,19.214035,0.0,549
LOC100128822,0.7000563,126,-7.591423,2.8522683e-12,6310
CDH9,0.6990682,127,-1.1702156,0.24441898,17469
COL14A1,0.69827133,128,-14.2514,2.785716e-29,1860
MARCO,0.6971939,129,-9.293027,1.5315112e-15,5001
MAGEA3,0.696371,130,8.443381,1.1556804e-16,4640
ARL13A,0.69530714,131,-5.214723,8.328872e-07,9551
ARHGEF33,0.6948641,132,-6.0600867,1.7976168e-08,8366
CLCA3P,0.69388866,133,-2.9905849,0.0032606926,13302
TM9SF2,0.6924126,134,2.8414865,0.0050858967,13593
ZNF653,0.69224346,135,4.5047183,1.6777325e-05,10660
CRYBB2,0.69217664,136,0.15320955,0.87849486,20395
LOC100233209,0.6902716,137,3.202821,0.0016319369,12865
DRG2,0.6895895,138,-5.107046,9.534226e-07,9603
LINC00548,0.6886547,139,-6.5819874,2.7859e-09,7838
ANP32A-IT1,0.68692565,140,-5.242909,8.557929e-07,9562
MKKS,0.6867961,141,-1.8047347,0.07275364,15854
OR2D3,0.6866784,142,0.78511244,0.4338356,18522
SPG21,0.68664235,143,6.7798095,2.381635e-10,7246
RECQL4,0.6856841,144,19.844177,0.0,482
LOC339975,0.6838181,145,-2.5917487,0.010875616,14143
BSPH1,0.68338686,146,-0.5182777,0.6054446,19281
KCTD12,0.6826303,147,-17.883768,1.5983367e-37,1034
MIR4420,0.6822586,148,0.35354954,0.7243654,19803
MIR548Q,0.6820942,149,0.031570654,0.97487485,20772
KHSRP,0.68187344,150,4.3212504,3.182913e-05,10897
ILDR1,0.68113637,151,9.42619,1.7516181e-16,4698
LOC284080,0.6802423,152,-5.0473547,1.6924228e-06,9810
DNMBP,0.6797753,153,-8.944708,2.2208404e-16,4727
SNORD95,0.6797274,154,2.139898,0.03450131,15115
IFT140,0.67871284,155,5.258583,5.587343e-07,9428
FLJ31485,0.67624104,156,-13.789784,3.715221e-27,2175
ITGB2,0.6759642,157,3.5502431,0.0005550008,12271
TAOK2,0.67482585,158,4.766488,4.656796e-06,10182
ETF1,0.6741276,159,-5.9714003,2.1803158e-08,8416
MNX1,0.6736397,160,12.65503,1.5858598e-29,1829
PTPRM,0.6707125,161,-12.658851,2.5677705e-23,2832
MBD3L3,0.66982365,162,0.1098791,0.91273504,20552
