fold,feature_set,n_features,genes_json
3,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""MIR4508"", ""SCN4B"", ""MME"", ""MATN2"", ""SDPR"", ""PAMR1"", ""LMOD1"", ""COL11A1"", ""TMEM220"", ""HOXA4"", ""NTRK2"", ""CD300LG"", ""C2orf40"", ""IBSP"", ""KLHL29"", ""MAMDC2"", ""LOC283867"", ""CCL11"", ""ADAMTS5"", ""PPP1R14A"", ""HSD17B6"", ""ANKRD29"", ""CA4"", ""HOXA5"", ""IL11RA"", ""MIR497HG"", ""FMO2"", ""ARF1"", ""MMP13"", ""ITM2A"", ""SLC24A2"", ""RGN"", ""RERGL"", ""TINAGL1"", ""HLF"", ""TSLP"", ""CACHD1"", ""GPRIN1"", ""JTB"", ""NEK2"", ""CILP2"", ""SYNM"", ""CST1"", ""C5orf4"", ""LIMS2"", ""DMD"", ""SCARA5"", ""CXCL2"", ""APOA1BP"", ""IL33"", ""UBE2T"", ""GABRD"", ""LOC100507600"", ""PARP1"", ""AURKA"", ""PROS1"", ""TSHZ2"", ""TPX2"", ""WISP1"", ""MYH11"", ""TGFBR3"", ""ANXA1"", ""LAGE3"", ""FIGF"", ""PPAPDC1A"", ""CDK1"", ""CHL1"", ""VIT"", ""SFRP1"", ""IQGAP3"", ""PLAC1"", ""GIPC2"", ""NEIL3"", ""ADRB2"", ""SCAMP3"", ""NUF2"", ""SKA1"", ""SLC50A1"", ""CTHRC1"", ""TIMM17A"", ""PGM5"", ""NR3C2"", ""S100B"", ""CEP55"", ""BOC"", ""KIAA0101"", ""BTNL9"", ""SPC25"", ""ASPM"", ""CERS2"", ""EPYC"", ""NDRG2"", ""FLAD1"", ""CYYR1"", ""CLSPN"", ""MMP11"", ""C1QTNF6"", ""KIF4A"", ""ADH1C"", ""SPAG5"", ""GJB2"", ""CRYAB"", ""NFIB"", ""CAPN11"", ""SGOL1"", ""GPIHBP1"", ""TSPAN7"", ""FAM107A"", ""POC1A"", ""ASF1B"", ""CKAP2L"", ""MELK"", ""RUSC1"", ""TMCO1"", ""KIF14"", ""CDCA8"", ""METTL11B"", ""ADAM33"", ""LOC100127983"", ""UHRF1"", ""LINC00478"", ""H2AFZ"", ""INHBA"", ""ABCA10"", ""TTTY6"", ""SYN2"", ""PDE2A"", ""SCT"", ""BUB1"", ""TROAP"", ""KIF2C"", ""CCNB1"", ""TCEAL7"", ""JAM2"", ""ROBO3"", ""CDCA3"", ""ATOH8"", ""HOXA3"", ""ANLN"", ""CAV1"", ""FAM83D"", ""ITIH5"", ""NUAK2"", ""KIF4B"", ""RNASEH2A"", ""LOC100131176"", ""MIR100HG"", ""TOR3A"", ""UBE2C"", ""MMP1"", ""CLDN11"", ""C1QTNF9"", ""DAP3"", ""NACC1"", ""FAM54A"", ""GPRASP1"", ""ARHGAP20"", ""CENPF"", ""PBK"", ""METTL7A"", ""DTL"", ""ID4"", ""CNIH2"", ""LRIG3"", ""LIFR"", ""APCDD1"", ""DEPDC1"", ""C1orf31"", ""LOC283481"", ""TMTC1"", ""HMMR"", ""MSRA"", ""DLGAP5"", ""CENPE"", ""CORO2B"", ""PRC1"", ""TSTA3"", ""CLEC5A"", ""WDR62"", ""PTTG1"", ""SOBP"", ""RAD51"", ""CDC25C"", ""PTTG3P"", ""NDC80"", ""KIF18B"", ""IGFBP6"", ""PALMD"", ""CDKN3"", ""RRM2"", ""HDGF"", ""MIR143HG"", ""RBMS3"", ""SPC24"", ""SKA3"", ""KL"", ""PPP4C"", ""SIRPA""]"
3,Latent_32d_fixed_unsupervised,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
4,H2C_train_rule_top37,37,"[""EFCAB3"", ""PGC"", ""RPRM"", ""RPRML"", ""PABPN1L"", ""HSPB9"", ""TMCO2"", ""CAPNS2"", ""RPRD1B"", ""OTOP1"", ""TPRG1"", ""NCR2"", ""PPIP5K1"", ""AES"", ""SERPINA10"", ""FLJ46066"", ""SNW1"", ""VCAM1"", ""DDX11L1"", ""CCT4"", ""PDLIM7"", ""RAD50"", ""DNAJB12"", ""PRG3"", ""SFSWAP"", ""COQ10B"", ""HOMER1"", ""NOTCH3"", ""SSC5D"", ""PTDSS2"", ""SCARNA20"", ""SFTPC"", ""CCT8L2"", ""RAB30"", ""NUDT16P1"", ""CAPN10"", ""C19orf66""]"
4,TDA_top200_train,200,"[""ACTB"", ""RPS6"", ""ACTG1"", ""RPL23AP7"", ""RRAGB"", ""RPS6KC1"", ""GNG5"", ""EFCAB3"", ""RPP14"", ""UBE2I"", ""PGC"", ""CFLAR-AS1"", ""RPRM"", ""RPRML"", ""RPL23AP53"", ""PABPN1L"", ""ALDOA"", ""HSPB9"", ""OCIAD2"", ""PTPN11"", ""CD82"", ""ANXA2P2"", ""PLA2G15"", ""PGAP1"", ""ENOX2"", ""TMCO2"", ""CP"", ""CAPNS2"", ""BTF3L4"", ""RHOXF1"", ""RPRD1B"", ""ARF1"", ""ZBED2"", ""OTOP1"", ""TPRG1"", ""GLYCTK"", ""NCR2"", ""ELAC1"", ""GRAMD2"", ""PPIP5K1"", ""HNRNPH3"", ""CYC1"", ""AES"", ""MARVELD2"", ""PCDH18"", ""CD160"", ""MRP63"", ""LARP7"", ""PARP4"", ""SERPINA10"", ""ATP5G2"", ""HIRA"", ""CAP1"", ""FLJ46066"", ""ARPC2"", ""RPS12"", ""TMEM106C"", ""SNW1"", ""ATP6V0E1"", ""MYLK2"", ""DDX55"", ""USHBP1"", ""PGPEP1"", ""DYRK3"", ""PSTK"", ""ARHGDIA"", ""CCNI2"", ""GARS"", ""GNG13"", ""COPS2"", ""ARL6IP1"", ""PTK2"", ""KDM4A"", ""GUSBP4"", ""RIBC2"", ""RPL29"", ""TMCC1"", ""ELAVL2"", ""FLCN"", ""TMEM11"", ""SERBP1"", ""VCAM1"", ""HDX"", ""ARF5"", ""ZBP1"", ""DDX11L1"", ""CCT4"", ""C11orf16"", ""PDLIM7"", ""PDPN"", ""GNB2"", ""C1orf49"", ""HOGA1"", ""NUDT16L1"", ""MSX1"", ""RAD50"", ""SELE"", ""CD47"", ""PRKCZ"", ""CDH10"", ""PDP1"", ""DBI"", ""APRT"", ""ARPC3"", ""YBX1"", ""CCT8"", ""ARF4"", ""HNRPDL"", ""SRSF12"", ""KDM4B"", ""CTNNB1"", ""HEATR7A"", ""CHMP6"", ""VPS8"", ""NFKBIE"", ""ACTR2"", ""DNAJB12"", ""PRG3"", ""CNEP1R1"", ""SV2A"", ""EIF4E1B"", ""ZFR2"", ""NDUFV1"", ""EIF3K"", ""TMCO1"", ""TMEM107"", ""GSTT2"", ""TWSG1"", ""SEPT5-GP1BB"", ""SFRP4"", ""CARD10"", ""SFSWAP"", ""ACTR3"", ""ING2"", ""TMEM105"", ""PSMD3"", ""COQ10B"", ""HOMER1"", ""NOTCH3"", ""SSC5D"", ""PTDSS2"", ""RAC1"", ""SCARNA20"", ""DDIT3"", ""SFTPC"", ""CCT8L2"", ""ELANE"", ""LMLN"", ""EIF1AY"", ""RAB30"", ""HNRNPKP3"", ""DDX46"", ""HOMEZ"", ""HNRNPU"", ""NID2"", ""NUDT16P1"", ""CAPN10"", ""THAP7-AS1"", ""PTPRVP"", ""C19orf66"", ""SPOCK3"", ""BANF2"", ""SELK"", ""AP2S1"", ""SETMAR"", ""HOOK3"", ""ARL6IP5"", ""NAV1"", ""KRT12"", ""PML"", ""KANK4"", ""TGFBI"", ""L3MBTL3"", ""RNF214"", ""HDAC9"", ""HNRNPL"", ""AUP1"", ""STEAP3"", ""ADD1"", ""SERPINB1"", ""SCARF1"", ""STX4"", ""ERMN"", ""KIAA0100"", ""LRP6"", ""PSD3"", ""HOMER3"", ""NUDT18"", ""MLL5"", ""NAMPT"", ""SDS"", ""ELK4"", ""VGLL3"", ""TMOD3"", ""TAF7"", ""ST6GALNAC2"", ""SRSF3"", ""GORASP2"", ""MYBBP1A"", ""NUP214""]"
4,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""MATN2"", ""SCN4B"", ""MIR4508"", ""NTRK2"", ""COL11A1"", ""TMEM220"", ""MME"", ""C2orf40"", ""HOXA4"", ""SDPR"", ""LOC283867"", ""MMP13"", ""CCL11"", ""PAMR1"", ""IBSP"", ""HOXA5"", ""ANKRD29"", ""ADAMTS5"", ""CD300LG"", ""MAMDC2"", ""ITM2A"", ""SYNM"", ""SFRP1"", ""SLC24A2"", ""IL11RA"", ""ARF1"", ""CACHD1"", ""HLF"", ""CILP2"", ""TINAGL1"", ""C5orf4"", ""MIR497HG"", ""LMOD1"", ""PROS1"", ""FMO2"", ""KLHL29"", ""SCARA5"", ""PPP1R14A"", ""FIGF"", ""NEK2"", ""JTB"", ""NUF2"", ""IQGAP3"", ""IL33"", ""CA4"", ""LIMS2"", ""WISP1"", ""CXCL2"", ""HSD17B6"", ""DMD"", ""GIPC2"", ""APOA1BP"", ""CTHRC1"", ""TPX2"", ""CDK1"", ""UBE2T"", ""PLAC1"", ""TSLP"", ""PPAPDC1A"", ""NDRG2"", ""RERGL"", ""C1QTNF6"", ""POC1A"", ""CYYR1"", ""LOC100131176"", ""CKAP2L"", ""SCT"", ""TSHZ2"", ""AURKA"", ""SLC50A1"", ""TGFBR3"", ""GABRD"", ""KIF14"", ""GJB2"", ""KIF4A"", ""RGN"", ""JAM2"", ""CEP55"", ""SPC25"", ""NFIB"", ""GPRIN1"", ""ANXA1"", ""MELK"", ""APCDD1"", ""CST1"", ""HOXA3"", ""EPYC"", ""ASPM"", ""TSPAN7"", ""NEIL3"", ""MMP11"", ""SKA1"", ""ROBO3"", ""MYH11"", ""TROAP"", ""LOC100127983"", ""ID4"", ""VIT"", ""BOC"", ""NR3C2"", ""SGOL1"", ""S100B"", ""KIF4B"", ""CLDN11"", ""ADAM33"", ""ABCA10"", ""LINC00478"", ""LAGE3"", ""PGM5"", ""C1QTNF9"", ""SPC24"", ""CRYAB"", ""CNIH2"", ""CCNB1"", ""ANLN"", ""RUSC1"", ""KIAA0101"", ""ITPRIPL1"", ""BUB1"", ""METTL11B"", ""SPAG5"", ""PDE2A"", ""ITIH5"", ""PHYHIP"", ""CHL1"", ""SCAMP3"", ""BTNL9"", ""NUSAP1"", ""DTL"", ""CENPF"", ""CDC25C"", ""CDCA3"", ""FAM107A"", ""CDKN3"", ""MIR100HG"", ""GPIHBP1"", ""GPRASP1"", ""UHRF1"", ""CDKN1C"", ""PARP1"", ""ATOH8"", ""KIF20A"", ""GTSE1"", ""FAM83D"", ""CAPN11"", ""CERS2"", ""SRPX"", ""DEPDC1"", ""FAM49A"", ""SGCE"", ""NDC80"", ""C18orf34"", ""ARHGAP20"", ""UBE2C"", ""CDCA8"", ""ADH1C"", ""TCF7L1"", ""PBK"", ""CSDAP1"", ""DLGAP5"", ""MIR143HG"", ""KIF26B"", ""FLAD1"", ""HMMR"", ""FAM54A"", ""CLSPN"", ""SIRPA"", ""ADRB2"", ""ERCC6L"", ""LOC572558"", ""P4HA3"", ""TDRD10"", ""RGMA"", ""PRC1"", ""MET"", ""DAP3"", ""MSRA"", ""TCEAL7"", ""WDR62"", ""KL"", ""HIF3A"", ""MAB21L1"", ""KIF11"", ""LRIG3"", ""CSDA"", ""SYN2"", ""PTTG1"", ""CAV1"", ""BUB1B"", ""HDGF"", ""E2F7"", ""ADAMTS14"", ""METTL7A"", ""TACR1"", ""ASF1B"", ""LOC283481"", ""KIF2C"", ""KIF18B""]"
4,Latent_32d_fixed_unsupervised,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
5,H2C_train_rule_top37,37,"[""EFCAB3"", ""PGC"", ""RPRM"", ""RPRML"", ""PABPN1L"", ""HSPB9"", ""TMCO2"", ""CAPNS2"", ""RPRD1B"", ""OTOP1"", ""TPRG1"", ""NCR2"", ""PPIP5K1"", ""SERPINA10"", ""FLJ46066"", ""SNW1"", ""CCT4"", ""DDX11L1"", ""PDLIM7"", ""RAD50"", ""VPS8"", ""DNAJB12"", ""PRG3"", ""SFSWAP"", ""NOTCH3"", ""COQ10B"", ""HOMER1"", ""CCT8L2"", ""SFTPC"", ""SCARNA20"", ""EIF1AY"", ""RAB30"", ""DDX46"", ""NUDT16P1"", ""BANF2"", ""C19orf66"", ""SELK""]"
5,TDA_top200_train,200,"[""ACTB"", ""RPS6"", ""ACTG1"", ""RPL23AP7"", ""RRAGB"", ""RPS6KC1"", ""GNG5"", ""EFCAB3"", ""RPP14"", ""UBE2I"", ""PGC"", ""CFLAR-AS1"", ""RPRM"", ""RPRML"", ""RPL23AP53"", ""PABPN1L"", ""ALDOA"", ""HSPB9"", ""OCIAD2"", ""PTPN11"", ""CD82"", ""ANXA2P2"", ""PLA2G15"", ""ENOX2"", ""PGAP1"", ""TMCO2"", ""CP"", ""CAPNS2"", ""BTF3L4"", ""RPRD1B"", ""RHOXF1"", ""ARF1"", ""ZBED2"", ""OTOP1"", ""TPRG1"", ""GLYCTK"", ""NCR2"", ""GRAMD2"", ""PPIP5K1"", ""ELAC1"", ""CYC1"", ""HNRNPH3"", ""AES"", ""MARVELD2"", ""PCDH18"", ""CD160"", ""MRP63"", ""PARP4"", ""SERPINA10"", ""LARP7"", ""ATP5G2"", ""HIRA"", ""CAP1"", ""FLJ46066"", ""SNW1"", ""ARPC2"", ""ATP6V0E1"", ""RPS12"", ""USHBP1"", ""TMEM106C"", ""MYLK2"", ""DDX55"", ""DYRK3"", ""PGPEP1"", ""PSTK"", ""ARHGDIA"", ""CCNI2"", ""GARS"", ""COPS2"", ""GUSBP4"", ""RPL29"", ""RIBC2"", ""GNG13"", ""KDM4A"", ""ELAVL2"", ""FLCN"", ""ARL6IP1"", ""PTK2"", ""TMEM11"", ""VCAM1"", ""TMCC1"", ""ARF5"", ""SERBP1"", ""HDX"", ""C11orf16"", ""CCT4"", ""DDX11L1"", ""ZBP1"", ""GNB2"", ""PDLIM7"", ""PDPN"", ""C1orf49"", ""NUDT16L1"", ""HOGA1"", ""MSX1"", ""RAD50"", ""SELE"", ""CD47"", ""APRT"", ""PRKCZ"", ""ARPC3"", ""CDH10"", ""PDP1"", ""CCT8"", ""DBI"", ""YBX1"", ""HNRPDL"", ""ARF4"", ""SRSF12"", ""KDM4B"", ""CTNNB1"", ""HEATR7A"", ""CHMP6"", ""VPS8"", ""NFKBIE"", ""EIF4E1B"", ""DNAJB12"", ""ACTR2"", ""NDUFV1"", ""CNEP1R1"", ""EIF3K"", ""PRG3"", ""SV2A"", ""ZFR2"", ""GSTT2"", ""TWSG1"", ""TMCO1"", ""TMEM107"", ""CARD10"", ""ING2"", ""SEPT5-GP1BB"", ""PSMD3"", ""SFRP4"", ""SFSWAP"", ""NOTCH3"", ""RAC1"", ""ACTR3"", ""COQ10B"", ""TMEM105"", ""HOMER1"", ""SSC5D"", ""PTDSS2"", ""LMLN"", ""DDIT3"", ""CCT8L2"", ""SFTPC"", ""SCARNA20"", ""ELANE"", ""HNRNPKP3"", ""EIF1AY"", ""RAB30"", ""DDX46"", ""NID2"", ""HOMEZ"", ""HNRNPU"", ""CAPN10"", ""NUDT16P1"", ""THAP7-AS1"", ""PTPRVP"", ""BANF2"", ""C19orf66"", ""SELK"", ""AP2S1"", ""SPOCK3"", ""SETMAR"", ""HOOK3"", ""KANK4"", ""ARL6IP5"", ""NAV1"", ""PML"", ""KRT12"", ""RNF214"", ""AUP1"", ""TGFBI"", ""HNRNPL"", ""HDAC9"", ""L3MBTL3"", ""ERMN"", ""NAMPT"", ""STEAP3"", ""ADD1"", ""NUDT18"", ""SCARF1"", ""STX4"", ""SERPINB1"", ""KIAA0100"", ""LRP6"", ""PSD3"", ""HOMER3"", ""SDS"", ""ELK4"", ""MLL5"", ""TMOD3"", ""VGLL3"", ""ST6GALNAC2"", ""DYX1C1"", ""MYBBP1A"", ""TAF7"", ""SRSF3"", ""GORASP2""]"
5,Euclidean_top200_train,200,"[""COL10A1"", ""SPRY2"", ""MIR4508"", ""SCN4B"", ""MATN2"", ""NTRK2"", ""TMEM220"", ""MME"", ""COL11A1"", ""SDPR"", ""CCL11"", ""C2orf40"", ""IBSP"", ""ADAMTS5"", ""HOXA4"", ""SLC24A2"", ""PAMR1"", ""LOC283867"", ""CD300LG"", ""MAMDC2"", ""FMO2"", ""IL11RA"", ""HOXA5"", ""DMD"", ""CA4"", ""ITM2A"", ""CACHD1"", ""MIR497HG"", ""ARF1"", ""FIGF"", ""APOA1BP"", ""TSLP"", ""PPP1R14A"", ""MMP13"", ""JTB"", ""ANKRD29"", ""LMOD1"", ""GABRD"", ""CILP2"", ""C5orf4"", ""KLHL29"", ""HSD17B6"", ""CXCL2"", ""NEK2"", ""WISP1"", ""HLF"", ""SCARA5"", ""PROS1"", ""IL33"", ""NR3C2"", ""SFRP1"", ""SYNM"", ""CST1"", ""PLAC1"", ""GIPC2"", ""TSHZ2"", ""PPAPDC1A"", ""TINAGL1"", ""CTHRC1"", ""RGN"", ""TGFBR3"", ""LAGE3"", ""RERGL"", ""C1QTNF6"", ""GJB2"", ""NFIB"", ""CYYR1"", ""SCAMP3"", ""NDRG2"", ""MMP11"", ""LIMS2"", ""CERS2"", ""EPYC"", ""ADAM33"", ""ARHGAP20"", ""UBE2T"", ""LINC00478"", ""POC1A"", ""BTNL9"", ""TPX2"", ""JAM2"", ""GPRIN1"", ""RUSC1"", ""BOC"", ""SLC50A1"", ""AURKA"", ""KIF4A"", ""NUF2"", ""ANXA1"", ""PGM5"", ""SPC25"", ""TSPAN7"", ""HOXA3"", ""S100B"", ""VIT"", ""SCT"", ""MMP1"", ""METTL11B"", ""ROBO3"", ""LOC100127983"", ""TCEAL7"", ""CHL1"", ""IQGAP3"", ""LRIG3"", ""CRYAB"", ""CCNB1"", ""MYH11"", ""CLDN11"", ""KIF4B"", ""PPP4C"", ""SKA1"", ""KIAA0101"", ""ID4"", ""KL"", ""RNASEH2A"", ""ABCA10"", ""MIR100HG"", ""ITIH5"", ""RBMS3"", ""FAM49A"", ""CEP55"", ""CDK1"", ""PARP1"", ""ADRB2"", ""NEIL3"", ""CAPN11"", ""LIFR"", ""GPIHBP1"", ""APCDD1"", ""TIMM17A"", ""ATP6V0B"", ""SOBP"", ""ADH1C"", ""C1QTNF9"", ""CDKN1C"", ""HDGF"", ""H2AFZ"", ""FLAD1"", ""RNFT2"", ""CDC25C"", ""GPRASP1"", ""TMCO1"", ""SRPX"", ""FAM54A"", ""TROAP"", ""DAP3"", ""UBE2C"", ""FAM107A"", ""PDE2A"", ""LOC100131176"", ""SYN2"", ""P4HA3"", ""MET"", ""TMTC1"", ""CAV1"", ""CLEC5A"", ""PARK2"", ""MAB21L1"", ""PTTG1"", ""WBSCR28"", ""CORO2B"", ""RGMA"", ""SGCE"", ""NACC1"", ""TSTA3"", ""HIF3A"", ""ITPRIPL1"", ""FAM13A"", ""MELK"", ""RAD51"", ""IGFBP6"", ""CDCA3"", ""INHBA"", ""ATP1B2"", ""SGOL1"", ""MSRA"", ""OSR1"", ""PTTG3P"", ""C16orf59"", ""CKAP2L"", ""LOC100128338"", ""PHYHIP"", ""DTL"", ""C18orf34"", ""FAM13C"", ""ASPM"", ""TDRD10"", ""ABCA8"", ""ANKRD35"", ""PLAGL1"", ""ADAMTS9-AS2"", ""AIM1L"", ""SIRPA"", ""MEOX2"", ""LDB2"", ""BUB1"", ""LOC283481"", ""SPAG5"", ""ADAMTS14"", ""KIF2C""]"
5,Latent_32d_fixed_unsupervised,32,"[""z0"", ""z1"", ""z2"", ""z3"", ""z4"", ""z5"", ""z6"", ""z7"", ""z8"", ""z9"", ""z10"", ""z11"", ""z12"", ""z13"", ""z14"", ""z15"", ""z16"", ""z17"", ""z18"", ""z19"", ""z20"", ""z21"", ""z22"", ""z23"", ""z24"", ""z25"", ""z26"", ""z27"", ""z28"", ""z29"", ""z30"", ""z31""]"
