gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
ACTB,3326.2764,1,8.605308,8.5209075e-15,5675
RPS6,3269.5747,2,-10.055918,9.39508e-18,4752
ACTG1,3243.5679,3,12.261369,2.8042899e-24,3120
RPL23AP7,3079.3525,4,-5.925219,3.168011e-08,8849
RRAGB,3074.5225,5,-4.586391,9.863646e-06,10654
RPS6KC1,3065.749,6,7.2010016,1.7148699e-11,7073
GNG5,3052.1907,7,17.479748,0.0,902
EFCAB3,2748.7598,8,-0.92781514,0.35553768,18060
RPP14,2576.0898,9,-6.4185586,3.1721963e-09,8269
UBE2I,2326.3105,10,12.963233,2.928231e-29,2209
PGC,2256.4233,11,-0.259265,0.7959502,20113
CFLAR-AS1,2157.436,12,-6.524898,2.861298e-09,8247
RPRM,1872.8428,13,0.8187572,0.4140537,18397
RPRML,1761.4192,14,-1.3454736,0.18050921,16949
RPL23AP53,1687.4135,15,-8.14801,7.347239e-13,6473
PABPN1L,1399.906,16,1.4374781,0.15291089,16708
ALDOA,1386.0325,17,15.800482,1.5822245e-32,1740
HSPB9,1379.0829,18,-0.7186564,0.47356546,18677
OCIAD2,1338.8154,19,15.194409,4.529209e-34,1568
PTPN11,1266.7599,20,-8.476829,2.1085858e-13,6246
CD82,1246.7389,21,-4.107896,6.8908594e-05,11403
ANXA2P2,1242.8495,22,-3.2571023,0.0014895888,12879
PLA2G15,1159.5117,23,4.438213,2.0414012e-05,10929
ENOX2,1058.7502,24,-4.684313,7.10252e-06,10518
PGAP1,1032.8091,25,-11.658714,2.269796e-21,3794
TMCO2,968.04297,26,1.5823178,0.11608503,16353
CP,884.2052,27,-5.574671,1.2659133e-07,9252
CAPNS2,836.0602,28,-0.33354935,0.7391258,19888
BTF3L4,811.31055,29,3.8730729,0.00017634382,11807
RHOXF1,809.3528,30,-16.06955,4.9711622e-29,2244
RPRD1B,796.2112,31,1.6742458,0.09611028,16140
ARF1,786.20276,32,34.305603,0.0,29
ZBED2,781.5169,33,12.141081,6.0698305e-26,2793
TPRG1,754.64087,34,0.05116741,0.95922524,20707
OTOP1,754.6097,35,0.27211708,0.7857981,20072
NCR2,715.07874,36,0.9908111,0.32367364,17886
GLYCTK,700.7433,37,-7.9705324,3.0104263e-12,6726
PPIP5K1,675.8624,38,-1.9082069,0.058404494,15617
GRAMD2,668.1613,39,-8.1013565,9.0802826e-13,6517
ELAC1,667.9369,40,-19.289831,0.0,773
HNRNPH3,651.1453,41,-8.152247,4.1527553e-13,6361
AES,637.6202,42,1.5618571,0.12021082,16398
PCDH18,637.1774,43,-15.474924,2.2682316e-29,2188
MARVELD2,636.406,44,6.961892,1.4432563e-10,7518
CYC1,630.8039,45,12.757684,2.133012e-25,2913
CD160,626.03613,46,-7.043712,1.6750837e-10,7550
MRP63,616.208,47,6.680902,4.6097937e-10,7801
PARP4,613.75037,48,-5.294635,5.2630685e-07,9682
LARP7,606.6043,49,-4.50876,1.5572165e-05,10831
SERPINA10,602.59143,50,1.7958454,0.074353665,15871
HIRA,594.7971,51,-8.110131,1.279807e-13,6141
ATP5G2,590.5618,52,3.3373744,0.0011384848,12725
CAP1,575.5021,53,9.262735,2.7543445e-17,4874
FLJ46066,566.94495,54,-0.00072053744,0.9994263,20860
ATP6V0E1,546.38165,55,7.0856104,7.439299e-11,7363
ARPC2,545.35175,56,7.725441,1.3882142e-12,6590
SNW1,540.2339,57,-0.24949653,0.8033205,20138
RPS12,534.58826,58,-10.337085,5.4393867e-19,4392
MYLK2,530.4318,59,10.3100395,1.8037123e-19,4273
USHBP1,529.50323,60,-21.971737,0.0,511
TMEM106C,524.582,61,9.701463,3.2794995e-17,4890
DDX55,516.4136,62,2.1593685,0.032828324,15051
DYRK3,515.5499,63,-9.231023,1.0847062e-15,5363
PSTK,512.12024,64,-3.8144677,0.000224198,11903
PGPEP1,510.28473,65,-5.475235,1.8286826e-07,9377
ARHGDIA,503.6732,66,13.417335,2.5001715e-29,2194
CCNI2,484.144,67,10.019629,6.763555e-20,4171
KDM4A,471.46063,68,3.6170797,0.00042242598,12213
GARS,469.3858,69,20.345034,0.0,674
RIBC2,469.2387,70,13.922257,6.952785e-27,2615
COPS2,467.57758,71,-8.812396,1.3024994e-14,5744
TMEM11,464.12625,72,-3.2034156,0.0016748097,12944
GUSBP4,463.28134,73,-6.7699075,6.7155875e-10,7876
ELAVL2,461.47794,74,14.692996,9.764829e-37,1303
GNG13,461.22333,75,17.940289,0.0,868
VCAM1,459.05035,76,-1.7215915,0.08750668,16035
FLCN,457.21494,77,-8.353322,1.2167573e-13,6128
PTK2,454.89697,78,12.810835,1.6238406e-31,1888
RPL29,453.82117,79,-4.9604754,2.5646793e-06,10191
ARF5,449.37253,80,16.790915,0.0,936
CCT4,448.0901,81,1.380648,0.16930957,16858
ARL6IP1,446.9876,82,20.169369,0.0,694
HDX,445.85803,83,-5.135265,1.1182266e-06,9901
DDX11L1,441.58853,84,0.5874145,0.5580635,19063
C11orf16,441.07373,85,2.4551175,0.015159096,14419
TMCC1,434.77417,86,2.4175627,0.016828874,14517
GNB2,433.62936,87,11.493735,2.9843521e-21,3821
SERBP1,433.1194,88,-4.112996,7.107074e-05,11416
ZBP1,432.27173,89,6.5013003,1.1009498e-09,8010
PDLIM7,422.8206,90,0.72151875,0.47194558,18667
NUDT16L1,422.5379,91,24.799934,0.0,276
C1orf49,414.47064,92,1.472709,0.14244346,16618
RAD50,413.35507,93,0.4393125,0.6611902,19529
HOGA1,412.81995,94,-13.768318,1.4782722e-25,2881
MSX1,411.5434,95,-8.615773,7.854391e-14,6051
PDPN,409.48035,96,-5.776097,5.493234e-08,9014
SELE,407.7215,97,-3.7258933,0.0003209341,12065
ARPC3,404.83542,98,17.853186,0.0,875
CCT8,398.24622,99,9.936883,6.284575e-18,4704
APRT,395.49173,100,5.69109,7.538717e-08,9093
CD47,390.56683,101,-6.1733027,9.261532e-09,8554
PRKCZ,389.29837,102,8.061045,5.926568e-13,6436
PDP1,382.82388,103,-4.747997,5.3616545e-06,10438
HNRPDL,382.22308,104,-9.286408,2.6626102e-15,5498
CDH10,381.24228,105,-2.9425893,0.003973752,13472
DBI,380.0722,106,-4.5881953,1.0902822e-05,10691
ARF4,378.90588,107,13.898271,5.831961e-30,2099
KDM4B,375.4212,108,9.262017,4.6414367e-16,5238
YBX1,375.40073,109,-7.3077216,1.1593274e-11,6979
CHMP6,372.23373,110,2.7106671,0.0075309183,13873
SRSF12,372.22058,111,-5.678831,8.763417e-08,9126
VPS8,368.59583,112,2.0442073,0.04280878,15307
CTNNB1,367.8205,113,-5.358848,4.5928186e-07,9648
EIF4E1B,367.07654,114,10.366762,6.936761e-24,3194
HEATR7A,365.0239,115,6.255473,6.273049e-09,8451
EIF3K,361.36032,116,-8.102649,3.1804122e-13,6326
GSTT2,357.35516,117,-2.9478545,0.003960783,13468
CNEP1R1,357.00836,118,-6.913799,1.9064546e-10,7595
TWSG1,355.71698,119,5.5888796,9.646124e-08,9156
NDUFV1,354.5355,120,-1.6677023,0.09799072,16159
ZFR2,351.40714,121,4.4590626,9.690993e-06,10646
DNAJB12,350.68378,122,-1.5206583,0.13083485,16506
ACTR2,350.57822,123,11.403981,1.6522203e-22,3529
NFKBIE,349.35837,124,11.62077,6.3244622e-21,3903
PRG3,349.30133,125,-1.2786926,0.20410463,17111
SV2A,348.5409,126,-6.410295,3.3272451e-09,8282
ING2,343.6176,127,5.734206,3.6768178e-08,8889
CARD10,342.52365,128,-7.532001,7.629103e-12,6892
TMCO1,342.4051,129,26.56711,0.0,167
PSMD3,341.29486,130,13.840416,1.4499194e-34,1517
NOTCH3,340.0341,131,-1.3355987,0.18402585,16971
LMLN,332.4334,132,7.364212,1.9803314e-11,7107
SFSWAP,332.4231,133,-0.01115609,0.991118,20830
TMEM107,331.29193,134,-3.3577435,0.0009541234,12630
SEPT5-GP1BB,331.12878,135,2.140449,0.03436628,15083
RAC1,330.9141,136,2.5937164,0.01054639,14129
COQ10B,328.48123,137,0.13387318,0.8937368,20488
SFRP4,327.36075,138,-3.5093644,0.0006388098,12418
SSC5D,325.88562,139,-1.6678935,0.09798508,16158
HOMER1,325.1192,140,-2.242196,0.026793625,14881
PTDSS2,325.0688,141,3.048451,0.002631113,13198
CCT8L2,322.7779,142,-1.4423077,0.15184842,16697
ACTR3,321.60983,143,12.879036,7.769655e-27,2625
HNRNPKP3,320.49304,144,6.125432,1.2719292e-08,8623
TMEM105,320.27606,145,4.646489,6.8710283e-06,10505
SCARNA20,315.54413,146,-0.32713816,0.7441581,19910
SFTPC,314.6585,147,-0.95059544,0.3440387,17996
ELANE,313.8017,148,-15.2952385,1.1184924e-27,2460
DDIT3,313.30905,149,-4.008666,0.00010685703,11591
NID2,308.0766,150,7.827821,6.6074175e-13,6452
EIF1AY,305.5791,151,-0.017752139,0.9858708,20816
C19orf66,305.2251,152,0.011170059,0.99110216,20829
BANF2,304.2626,153,-0.87166435,0.38515738,18245
CAPN10,302.85703,154,2.217621,0.028424257,14920
SELK,302.30905,155,-2.8676744,0.004638444,13563
RAB30,302.18768,156,-0.5820621,0.5612911,19072
DDX46,299.03796,157,1.6092277,0.11011798,16295
HNRNPU,299.0004,158,13.033042,4.965788e-26,2777
HOMEZ,298.086,159,5.268474,4.2164336e-07,9624
AP2S1,295.88953,160,19.315016,0.0,767
NUDT16P1,294.17416,161,0.5464146,0.58539677,19181
SPOCK3,293.57275,162,-8.067121,1.9552092e-12,6643
KANK4,293.1106,163,-10.00912,4.2712095e-18,4654
PTPRVP,292.58563,164,-4.3557105,3.1798056e-05,11093
THAP7-AS1,292.17487,165,-4.858747,3.8240896e-06,10321
AUP1,287.26782,166,16.559944,7.25979e-40,1026
SETMAR,283.7956,167,-9.646569,1.3351194e-16,5084
ERMN,282.6857,168,15.264554,4.59214e-35,1459
RNF214,282.29834,169,-12.421786,4.3097737e-23,3371
NAMPT,280.39987,170,-6.2597666,5.733354e-09,8428
NUDT18,280.12543,171,7.1016335,2.3050324e-11,7124
HOOK3,280.09482,172,-6.4018893,3.2055372e-09,8273
HNRNPL,279.8157,173,15.338888,1.7702517e-32,1751
PML,279.41187,174,-6.640751,6.4153716e-10,7870
ARL6IP5,278.51855,175,-9.547777,3.1750064e-16,5194
NAV1,276.38254,176,-0.8667068,0.3878093,18265
KRT12,275.94528,177,0.25742352,0.7973078,20117
PSD3,274.38202,178,2.5782254,0.010805277,14154
HDAC9,273.3846,179,-4.219491,4.6441248e-05,11235
TGFBI,272.3673,180,2.2064826,0.028974677,14942
DYX1C1,271.6249,181,7.11306,7.832716e-11,7377
TMOD3,271.61826,182,0.9793528,0.32941645,17919
MYBBP1A,271.16324,183,-2.0194755,0.045977525,15383
L3MBTL3,270.7416,184,-5.00093,1.7609656e-06,10067
ELK4,270.26562,185,-1.4733787,0.14336878,16623
SDS,269.53217,186,17.314718,1.3255049e-32,1731
ADD1,268.51245,187,-13.6263,4.9834993e-26,2778
STEAP3,268.2492,188,-5.8120837,4.3943647e-08,8948
VGLL3,267.98468,189,-13.464846,6.589776e-25,3002
SCARF1,266.652,190,-10.798112,2.6121133e-18,4587
ST6GALNAC2,266.63882,191,1.5665716,0.119288586,16392
C2orf29,266.51617,192,11.690867,9.79116e-22,3709
LRP6,266.48584,193,-9.049028,4.2928206e-15,5566
KIAA0100,266.29407,194,-3.175184,0.001805847,12987
STX4,265.64542,195,9.023732,1.1128375e-15,5372
TAF7,265.0162,196,-6.6516438,4.769106e-10,7809
CISD1,264.7183,197,5.3888483,2.735951e-07,9508
SERPINB1,264.1351,198,-2.4181597,0.0166846,14512
NDUFS1,263.8975,199,-3.0189843,0.00311392,13296
SEC23B,263.2887,200,10.359791,2.47788e-19,4306
HOMER3,262.12442,201,10.897199,2.8594677e-20,4070
MRPL39,262.0409,202,-2.310631,0.022034805,14724
AKR1A1,261.6958,203,5.2215166,8.8083164e-07,9823
AAMP,261.06378,204,5.6910505,8.189187e-08,9109
MLL5,260.74335,205,-5.6607203,1.2291697e-07,9239
SRSF3,258.33322,206,-2.5345423,0.012778418,14279
PSMC3,258.1682,207,7.374657,1.4254327e-11,7017
TMEM161B,258.08923,208,-0.41282338,0.68051517,19617
HNRNPR,257.1164,209,6.1304393,9.826272e-09,8568
NUP214,256.36218,210,-3.3549216,0.0010683975,12685
RAB1A,256.33307,211,7.912177,4.526316e-13,6379
GORASP2,256.09332,212,9.317073,2.3817743e-16,5152
EIF3J,255.89561,213,3.6495395,0.00034853368,12102
AHSA1,254.59418,214,9.892338,1.197421e-17,4781
REM2,253.91458,215,13.236305,6.3717187e-28,2430
RAB35,253.61652,216,4.504189,1.3494169e-05,10778
STBD1,249.77684,217,-10.35049,2.105862e-17,4849
LOC653513,248.46413,218,-3.0775154,0.0026213785,13193
TOP3A,248.45877,219,1.6983043,0.0920858,16086
SNTN,248.0757,220,13.39924,1.0634409e-34,1494
QTRT1,247.81381,221,3.5154383,0.00058281893,12362
RNU86,246.44958,222,-1.865964,0.06443761,15721
NR0B2,245.76335,223,0.68302196,0.49597773,18781
ZNF680,245.57744,224,-0.9315512,0.35339704,18049
UBE2M,245.10614,225,14.751063,1.6951027e-30,2019
MRPL42P5,244.36655,226,-0.97524667,0.33144543,17928
EIF3IP1,243.30687,227,10.496192,8.038769e-20,4187
PTPN14,242.95624,228,-21.35835,0.0,575
ATP6V0D1,242.88055,229,3.1877,0.0017667357,12980
STK33,242.29958,230,-2.2451756,0.026162975,14861
TMEM41B,241.92055,231,7.6978693,5.2737025e-12,6822
CDC42BPA,241.04459,232,-5.4936476,2.0038463e-07,9407
SLC40A1,240.68866,233,-4.102641,5.6276716e-05,11314
TMEM92,240.4863,234,14.527184,1.419547e-32,1733
MS4A1,236.90942,235,2.2087567,0.029010396,14946
RAB26,236.15706,236,21.62573,0.0,543
FAM9B,235.97713,237,0.6241263,0.5336741,18962
PGBD3,235.62616,238,-4.548132,1.3510418e-05,10779
HPRT1,235.57352,239,18.071766,0.0,857
ARCN1,235.52144,240,0.5729201,0.5675543,19097
SUPV3L1,235.45938,241,-2.3135047,0.02228359,14733
SSNA1,235.19366,242,15.657264,1.7967407e-36,1327
CHD7,233.86087,243,1.108583,0.26935345,17572
FAM123A,233.43848,244,0.5689255,0.570283,19105
NEDD9,233.1551,245,-16.842752,3.8138104e-34,1558
ODF3L1,232.44118,246,-17.680597,1.9356552e-32,1756
ANP32B,231.62924,247,0.57204396,0.56813914,19099
CLDND1,230.85773,248,-10.183622,2.3677919e-18,4573
SEL1L2,230.52519,249,-11.25185,4.486673e-19,4369
PPP1R13B,230.50702,250,-2.477695,0.014686006,14390
SSBP2,229.84859,251,-9.881901,2.0172081e-17,4844
POLR3K,229.24184,252,26.075459,0.0,202
DIDO1,228.85452,253,-0.522024,0.6025173,19270
NIPA2,228.80344,254,8.691484,3.6542903e-15,5545
SNRPD3,228.40182,255,9.220531,9.401351e-16,5339
UCP1,227.356,256,-5.6460643,9.650672e-08,9157
ESR1,227.19202,257,13.886868,1.05961546e-35,1409
CAPRIN2,227.0362,258,-7.7324915,3.27183e-12,6739
PALM3,226.63629,259,0.37041226,0.7117088,19762
SNX31,226.49829,260,-5.549372,1.970909e-07,9398
MRPL45,226.49763,261,-5.5658064,9.17711e-08,9140
ITGA2,226.44525,262,-3.5124607,0.00065066596,12430
NIPA1,226.31151,263,9.429933,9.269688e-18,4751
XRN2,226.04224,264,1.3566028,0.17717245,16919
PPP2R5B,226.01108,265,-6.5741405,1.0561213e-09,7996
MMP17,225.51744,266,5.93285,1.9456735e-08,8734
DHX35,225.06226,267,-1.4732628,0.14319687,16622
PRR15,225.00291,268,11.176393,3.7927758e-21,3847
PRR25,224.90723,269,6.7672563,2.5708494e-10,7655
RNF2,224.78351,270,7.5772676,3.3577475e-12,6747
NDUFB6,223.87842,271,8.913705,2.0204896e-16,5133
NARS2,223.62766,272,3.4503026,0.0006795479,12457
SEC14L1,221.77718,273,-16.236671,8.3518827e-32,1847
SFPQ,221.70395,274,8.863908,1.4265688e-14,5766
PI4KB,220.95149,275,6.1491537,4.5946327e-09,8374
FAM19A2,220.77338,276,-8.251671,3.5324875e-14,5919
HNRNPUL1,220.73907,277,2.463156,0.01496258,14408
MOGAT3,220.17166,278,-1.4320775,0.1551427,16737
CAPZA2,219.59094,279,-5.2235346,7.8710656e-07,9792
C20orf4,219.46048,280,3.5177546,0.0005269052,12313
IRGM,217.72772,281,-0.35536224,0.7229844,19817
PCSK4,217.63474,282,8.567287,1.6216032e-14,5795
TNFSF15,216.81113,283,-1.0051912,0.31685492,17835
LMF2,216.68393,284,0.4462401,0.6561608,19502
UBE2V2,216.14894,285,9.826378,1.1637721e-18,4488
ICK,215.84924,286,-4.9246984,2.8239629e-06,10222
KATNAL1,215.64313,287,-10.951628,6.688995e-19,4411
NDUFA12,215.27545,288,5.148348,9.274421e-07,9841
IDH3G,214.48495,289,3.8187113,0.00018916205,11833
PPP4R2,214.22427,290,0.9649163,0.3364837,17964
PSMG1,212.71844,291,5.466739,1.7314596e-07,9350
VRK1,212.46675,292,6.1644764,7.354368e-09,8506
CCDC73,212.41295,293,-8.064598,7.7113045e-13,6484
TCTN1,212.4107,294,6.3953724,1.4297437e-09,8056
EIF4G2,211.99445,295,0.15343204,0.87829345,20430
RPS6KA5,211.42252,296,-7.6814747,1.1091699e-11,6972
EIF1AX,211.4067,297,-4.0166807,0.000103901075,11578
LUZP1,211.16016,298,-12.887183,1.2458734e-23,3244
CDC42SE2,210.99532,299,-4.911717,3.0382073e-06,10247
HNRNPA3P1,210.69363,300,9.200201,2.6307398e-16,5171
GAB2,210.61214,301,-8.876773,2.3857545e-15,5480
TTC23L,209.91711,302,1.7814153,0.07754459,15907
TAMM41,208.44255,303,-2.7043777,0.007912196,13917
CKLF,208.29602,304,10.769967,5.5452346e-21,3891
UCP2,206.81859,305,4.8948817,2.6921975e-06,10206
FUT5,206.02168,306,1.8758023,0.062460236,15683
SS18L2,205.09192,307,5.650788,1.0785668e-07,9191
SRP54,204.2058,308,12.144486,1.1322382e-23,3237
VAX1,203.88385,309,4.4913526,7.955824e-06,10568
POLL,203.49005,310,-5.5289774,1.9558755e-07,9396
ZMYND11,202.49457,311,-2.97181,0.0035388763,13401
CCDC125,202.22006,312,7.867478,5.2363474e-13,6410
C15orf26,202.05989,313,1.1270679,0.26133946,17532
TMEM127,200.98021,314,5.855637,2.1715946e-08,8755
PSTPIP2,200.86424,315,-1.7632067,0.08051825,15948
SSBP3,200.60698,316,-10.505496,6.464331e-21,3910
FAM55A,200.30594,317,-2.950909,0.003931594,13466
UBE2G1,199.75648,318,-3.0881083,0.0024686307,13160
CNNM3,198.94717,319,1.4005103,0.1636064,16810
CASZ1,197.62192,320,3.5906565,0.0004803988,12268
CDK1,196.81421,321,27.86418,0.0,120
TYMP,196.42865,322,13.479586,1.9005238e-25,2905
DAZAP1,196.14137,323,13.142034,3.718735e-28,2386
JDP2,196.1268,324,-8.504898,7.2636016e-14,6042
PSMD7,196.10907,325,2.317703,0.02122727,14691
LTB4R2,194.6623,326,-3.5315065,0.0005934704,12370
CSDA,194.50858,327,-25.073225,0.0,262
RCL1,193.48607,328,-5.3955917,3.238412e-07,9555
NOVA1,193.08185,329,-19.845913,0.0,719
WDR18,192.27014,330,11.763671,6.694413e-24,3189
NCBP2,192.08495,331,8.646394,1.1795537e-14,5728
CSNK1G2,192.05421,332,5.936359,2.5182697e-08,8796
RNF128,191.61993,333,-8.359853,1.4083495e-13,6160
DUSP11,190.93913,334,0.41301477,0.6803525,19616
TMEM191B,190.93361,335,5.968765,3.1529453e-08,8847
HAO2,190.70609,336,-2.7916663,0.006276205,13755
MRS2,190.39188,337,4.9201517,2.291613e-06,10155
ANXA6,190.00845,338,-6.006575,3.06041e-08,8841
VPS53,189.38766,339,-5.7385306,5.6002712e-08,9019
CWC15,188.65103,340,-5.926296,1.1385798e-08,8595
HSPB2-C11orf52,188.23755,341,-12.001985,9.6521735e-21,3956
OCLM,188.19748,342,-1.6126487,0.109694816,16293
SERPINI1,188.1596,343,-4.960447,1.2679535e-06,9942
MRPL1,187.94876,344,-4.6613674,7.1190334e-06,10520
SSFA2,187.24123,345,-6.0379415,8.234703e-09,8534
IFT27,186.95006,346,7.4340234,3.5472543e-12,6755
EIF2B4,186.93121,347,3.3779805,0.00095137715,12627
UBXN10,186.13809,348,1.249826,0.21355289,17178
SSX1,185.5958,349,4.8684278,1.3139089e-06,9954
NEAT1,185.34912,350,-6.4927883,1.0857729e-09,8006
STIM1,184.6004,351,-9.620226,4.583099e-18,4666
ATP5F1,184.39365,352,1.7915803,0.07504963,15881
RDBP,183.94376,353,5.7747707,3.71972e-08,8895
ITGA5,183.6991,354,2.8018992,0.005935986,13714
CTF1,183.64697,355,-22.839476,0.0,425
SS18L1,183.42186,356,2.0756822,0.0401296,15236
PSMG2,183.30235,357,-1.401388,0.16339372,16807
MYO7B,182.56133,358,-8.837641,3.56221e-14,5921
ALYREF,182.35347,359,14.863822,3.0945577e-38,1171
DCAF10,182.15231,360,9.594064,1.5180323e-17,4815
KIAA0146,181.91818,361,2.3215404,0.021514071,14704
CXorf23,181.75145,362,-5.9765863,2.3679021e-08,8777
TREM2,181.47412,363,5.82859,6.511501e-08,9054
C7orf53,180.60454,364,-6.385779,3.4844758e-09,8299
ROBO3,179.98335,365,-30.023062,0.0,76
TOR2A,179.36795,366,17.49644,8.681495e-37,1298
DDX11L2,177.86632,367,-1.1619714,0.24782492,17432
LASP1,177.16425,368,6.5568514,5.465497e-10,7842
GPX5,176.39816,369,-2.325203,0.021698248,14712
TXNRD3NB,176.25,370,-1.5972056,0.113148764,16331
TCN1,175.27847,371,-6.4887543,2.2802675e-09,8187
HOPX,175.0375,372,9.064293,1.5862597e-15,5423
C19orf60,174.85179,373,2.50498,0.013557674,14324
TJP1,174.55643,374,-9.349455,1.6180878e-15,5427
MRPL35,174.49706,375,4.3668165,2.4208492e-05,10984
IER5L,174.45157,376,13.642417,6.453064e-26,2800
ANAPC5,174.03522,377,-0.32222414,0.74778455,19926
YWHAH,173.89874,378,10.591502,5.70044e-20,4148
ATPIF1,173.55283,379,14.9821615,6.242784e-33,1695
TMEM229B,173.11418,380,4.6394124,9.012775e-06,10619
