gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
ACTB,3644.1323,1,8.0971775,1.6047871e-13,6715
RPS6,3588.0383,2,-8.488237,5.199443e-14,6530
ACTG1,3561.4888,3,13.4615135,8.783467e-28,2865
RPL23AP7,3381.4792,4,-6.8800077,2.5088634e-10,8233
RRAGB,3373.1313,5,-4.8519883,3.0566594e-06,10700
RPS6KC1,3363.3704,6,6.7992406,1.3867488e-10,8085
GNG5,3351.044,7,17.820679,0.0,1074
EFCAB3,3011.5425,8,-1.5394318,0.12646349,16649
RPP14,2828.7786,9,-6.9042854,2.2993404e-10,8211
UBE2I,2529.702,10,13.426416,1.4105526e-30,2385
PGC,2463.5205,11,-0.14248134,0.8869776,20477
CFLAR-AS1,2348.3298,12,-7.555112,1.9257049e-11,7619
RPRM,2057.1077,13,1.3501997,0.17859824,17068
RPRML,1950.2875,14,-1.2493567,0.21379773,17337
RPL23AP53,1862.4231,15,-8.347884,2.3000452e-13,6783
PABPN1L,1511.219,16,1.1451689,0.25428906,17601
ALDOA,1503.0222,17,16.163612,9.895365e-34,1934
HSPB9,1478.0366,18,-1.4356729,0.15334885,16871
OCIAD2,1453.7092,19,16.38032,3.6838193e-37,1521
PTPN11,1365.0836,20,-10.285138,2.2811954e-17,5362
CD82,1349.1368,21,-4.0423326,8.926011e-05,11941
ANXA2P2,1338.254,22,-4.27991,4.0270676e-05,11625
PLA2G15,1247.0503,23,3.1711564,0.0019237626,13436
PGAP1,1147.0312,24,-13.264477,1.4803571e-25,3273
ENOX2,1143.494,25,-6.682375,4.6875737e-10,8367
TMCO2,1027.0503,26,0.98900896,0.32458225,18006
CP,965.4556,27,-5.944322,2.119307e-08,9288
CAPNS2,903.5254,28,0.2676491,0.789244,20114
BTF3L4,876.5875,29,3.5335953,0.00056343665,12753
RPRD1B,866.73975,30,1.1172746,0.26535946,17674
RHOXF1,860.9653,31,-17.331112,1.8712496e-31,2229
ARF1,836.53784,32,34.48985,0.0,41
ZBED2,828.8025,33,11.780506,9.213903e-25,3468
OTOP1,818.91516,34,0.72111756,0.47172463,18786
TPRG1,813.47363,35,0.019772483,0.9842368,20808
GLYCTK,787.72577,36,-8.521182,1.7977303e-13,6739
NCR2,766.9089,37,-0.27461946,0.7840911,20093
ELAC1,748.69385,38,-20.448101,0.0,819
GRAMD2,735.3613,39,-7.3958874,3.3009505e-11,7740
PPIP5K1,725.5618,40,-2.0134983,0.04576677,15592
HNRNPH3,718.94525,41,-8.077303,6.5919123e-13,6983
CYC1,714.8185,42,11.342826,1.4605618e-21,4225
AES,690.8449,43,1.8827174,0.061352476,15896
PCDH18,686.87537,44,-18.485067,3.0031972e-36,1629
MARVELD2,681.8385,45,6.985665,1.2385645e-10,8051
CD160,675.2438,46,-8.049103,7.748089e-13,7013
MRP63,674.19836,47,7.668428,2.1492235e-12,7196
LARP7,663.73914,48,-5.3992906,3.283803e-07,10073
SERPINA10,657.2263,49,0.78843725,0.4316537,18581
PARP4,652.17645,50,-6.9428186,1.7425487e-10,8139
ATP5G2,646.0872,51,5.0075674,1.8890968e-06,10542
