gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
ACTB,3021.6353,1,8.728499,3.2445805e-15,5839
RPS6,2975.9106,2,-9.082022,3.4134653e-15,5844
ACTG1,2953.9868,3,12.687054,1.3622984e-25,3077
RPL23AP7,2804.663,4,-5.192667,8.772382e-07,10093
RRAGB,2797.8652,5,-4.6537004,7.421781e-06,10799
RPS6KC1,2789.438,6,7.9035726,2.1342098e-13,6526
GNG5,2780.0193,7,20.558107,0.0,766
EFCAB3,2497.2988,8,-1.7353863,0.08556428,16101
RPP14,2346.9888,9,-6.6023755,1.3151557e-09,8316
UBE2I,2094.9888,10,13.015251,4.2653197e-29,2444
PGC,2042.8561,11,0.3405099,0.73416686,19893
CFLAR-AS1,1944.94,12,-7.3702416,5.405817e-11,7590
RPRM,1707.0084,13,1.4289773,0.15455611,16850
RPRML,1619.9089,14,-1.5123765,0.13290918,16651
RPL23AP53,1546.1936,15,-7.6636434,8.736519e-12,7217
PABPN1L,1253.0427,16,-0.34639314,0.72965336,19875
ALDOA,1245.5367,17,16.422419,8.527115e-35,1664
HSPB9,1226.0298,18,-1.1735055,0.24265012,17523
OCIAD2,1204.5454,19,16.328995,3.0193173e-37,1409
PTPN11,1131.918,20,-8.720141,7.1227305e-14,6339
CD82,1118.2114,21,-4.846967,3.4669988e-06,10543
ANXA2P2,1109.5458,22,-3.4411387,0.0008266707,12790
PLA2G15,1034.334,23,3.196668,0.0017984499,13169
PGAP1,952.92456,24,-12.102407,2.367061e-22,3782
ENOX2,948.2467,25,-5.0720935,1.3119759e-06,10214
TMCO2,854.83514,26,1.8841788,0.06188859,15750
CP,799.7627,27,-5.589663,1.13285246e-07,9506
CAPNS2,749.41125,28,-1.5069668,0.13390175,16660
BTF3L4,726.3496,29,5.0548286,1.5190493e-06,10256
RPRD1B,718.0448,30,1.779623,0.07704706,15971
RHOXF1,716.4607,31,-16.934614,1.8335652e-30,2229
ARF1,695.5616,32,35.341846,0.0,30
ZBED2,688.7844,33,16.689045,0.0,1076
OTOP1,678.7364,34,0.516577,0.60606664,19398
TPRG1,674.9585,35,0.99971366,0.31808227,17974
GLYCTK,655.7352,36,-8.167199,1.1601442e-12,6825
NCR2,639.44543,37,0.6105581,0.54264134,19134
ELAC1,625.6819,38,-19.444365,0.0,868
GRAMD2,608.1767,39,-8.25947,4.2651188e-13,6669
PPIP5K1,602.2689,40,-2.4552183,0.0152799385,14563
HNRNPH3,600.9368,41,-8.023907,9.733236e-13,6794
CYC1,592.3259,42,11.889733,3.8101417e-23,3597
AES,573.2113,43,1.7558477,0.080833375,16035
PCDH18,572.51263,44,-14.899305,4.9741797e-28,2614
MARVELD2,565.9564,45,7.6678224,2.851041e-12,7001
MRP63,563.30206,46,7.001045,8.5972535e-11,7696
CD160,560.1826,47,-7.3478656,3.639671e-11,7506
LARP7,554.7151,48,-5.146379,1.0625877e-06,10154
SERPINA10,544.7827,49,1.0680816,0.28713012,17798
PARP4,542.1956,50,-5.0458426,1.6146577e-06,10270
CAP1,540.02216,51,9.009033,2.3046438e-16,5406
ATP5G2,535.70575,52,3.897829,0.00016328775,11987
HIRA,530.84064,53,-8.708394,3.464971e-15,5850
FLJ46066,515.43744,54,-0.23063596,0.81801045,20193
TMEM106C,494.85358,55,8.843411,6.7485444e-15,5954
RPS12,493.9875,56,-9.108046,1.100925e-15,5665
ARPC2,493.6504,57,7.5793614,3.736446e-12,7053
DDX55,488.7276,58,1.5484737,0.12425199,16553
MYLK2,488.45642,59,12.894763,1.1496526e-27,2682
SNW1,484.5686,60,-0.15778063,0.87483704,20383
ATP6V0E1,481.68588,61,8.149643,1.64536e-13,6485
USHBP1,475.775,62,-24.22283,0.0,399
PGPEP1,466.4579,63,-5.6215305,9.727402e-08,9453
CCNI2,456.22607,64,11.662859,7.8152216e-26,3035
DYRK3,454.65314,65,-9.525312,1.6041083e-16,5363
GARS,451.52374,66,20.705679,0.0,751
PSTK,450.70593,67,-3.4208894,0.0008675661,12807
ARHGDIA,445.15668,68,13.714249,1.5605632e-30,2222
GNG13,438.30096,69,17.552856,0.0,1029
ARL6IP1,433.26886,70,23.04055,0.0,509
RPL29,430.8534,71,-5.0074396,2.1223684e-06,10363
COPS2,429.53748,72,-8.457153,1.0639752e-13,6406
TMCC1,428.06274,73,2.272041,0.024515536,14945
PTK2,427.38315,74,12.869489,3.9931805e-32,2013
GUSBP4,424.42197,75,-7.3516507,3.9594276e-11,7520
SERBP1,422.60666,76,-3.5528688,0.00053176435,12579
KDM4A,421.28168,77,3.8398402,0.00018578618,12055
ELAVL2,418.71332,78,17.839663,0.0,1010
TMEM11,415.08136,79,-4.117924,6.187223e-05,11566
ZBP1,414.83478,80,8.82338,7.914508e-16,5612
HDX,414.55988,81,-4.740976,5.7214816e-06,10711
FLCN,414.51868,82,-9.080242,2.785194e-15,5822
RIBC2,414.22314,83,13.049728,1.1899947e-24,3268
DDX11L1,409.85645,84,0.26139006,0.79426634,20109
VCAM1,408.3125,85,-1.5518371,0.12323066,16539
ARF5,407.6635,86,16.609781,4.67131e-40,1159
C11orf16,402.79425,87,3.963345,0.000102213,11760
CCT4,401.01685,88,1.5251806,0.12928988,16604
PDPN,399.26544,89,-7.2565174,3.2683793e-11,7482
PDLIM7,397.09247,90,0.28512952,0.7759979,20035
GNB2,389.6512,91,12.013822,7.998086e-23,3685
C1orf49,388.74213,92,1.8434627,0.066805765,15840
HOGA1,387.74414,93,-15.431419,2.6506736e-29,2416
SELE,386.128,94,-3.3662174,0.001080652,12937
MSX1,385.5056,95,-8.8464155,2.5139377e-14,6148
CD47,384.09195,96,-6.4822583,1.8905675e-09,8402
RAD50,383.4536,97,0.46603182,0.6419495,19538
NUDT16L1,382.62592,98,25.345797,0.0,307
PRKCZ,381.0098,99,8.389515,1.1289697e-13,6413
CDH10,375.2942,100,-3.1269279,0.0022743954,13292
PDP1,373.07483,101,-4.9862957,1.9457038e-06,10331
DBI,370.87695,102,-4.1798196,5.4055305e-05,11506
APRT,370.43668,103,5.670405,8.462013e-08,9408
YBX1,366.3477,104,-7.1342306,2.9943974e-11,7460
ARF4,364.7052,105,15.131839,1.2425586e-33,1815
HNRPDL,364.5802,106,-9.281077,2.6621869e-15,5813
SRSF12,361.50317,107,-5.3581142,3.8074606e-07,9884
KDM4B,359.21478,108,9.713114,3.4601455e-17,5155
CTNNB1,358.73798,109,-5.934934,3.2343234e-08,9135
ARPC3,358.65314,110,17.94329,0.0,1000
CCT8,358.17242,111,10.287452,8.0859526e-19,4664
HEATR7A,352.44986,112,5.544987,1.7069563e-07,9624
CHMP6,346.92606,113,2.5202167,0.0128093995,14425
NFKBIE,344.01605,114,12.437623,6.84673e-23,3666
ACTR2,342.6354,115,12.605514,4.0066865e-26,2977
VPS8,342.28986,116,1.3594095,0.17618328,17039
DNAJB12,342.0564,117,-2.4841516,0.014164378,14499
PRG3,338.9583,118,-1.3657606,0.17527817,17030
CNEP1R1,337.05414,119,-7.444248,1.110709e-11,7260
SV2A,335.63367,120,-6.695822,8.701455e-10,8216
NDUFV1,332.9062,121,-2.2817652,0.024217866,14934
ZFR2,330.95624,122,2.9552162,0.0032863354,13524
TMCO1,327.9855,123,29.473185,0.0,116
TMEM107,326.13922,124,-3.867864,0.00015406239,11967
EIF4E1B,322.6191,125,9.598752,9.32596e-21,4141
SEPT5-GP1BB,321.56808,126,1.6978388,0.09221189,16180
SFRP4,321.55255,127,-3.3791888,0.0009984832,12892
EIF3K,320.16837,128,-8.10791,3.3890645e-13,6617
SFSWAP,319.32233,129,-0.45340887,0.6511166,19575
GSTT2,318.7175,130,-2.6964455,0.008158407,14085
CARD10,317.61023,131,-7.9888277,6.75625e-13,6728
TWSG1,316.44318,132,5.5465903,1.2931793e-07,9544
ACTR3,313.86847,133,13.777557,2.9625928e-30,2266
TMEM105,312.75424,134,5.020758,1.2980076e-06,10208
HOMER1,310.74115,135,-2.6364787,0.009478661,14206
PTDSS2,308.84454,136,2.1243799,0.035001185,15234
SCARNA20,308.51862,137,-1.2531608,0.2128026,17326
COQ10B,308.38202,138,0.76847327,0.44378844,18674
RAC1,308.29785,139,3.6563504,0.0003504003,12348
DDIT3,308.2798,140,-3.9200754,0.00014830986,11943
ING2,307.56177,141,6.7876177,9.7175594e-11,7718
SFTPC,307.1073,142,-1.3612511,0.1765453,17042
SSC5D,306.91147,143,-2.1842673,0.031002842,15139
ELANE,305.24615,144,-15.0551605,3.2717494e-27,2760
PSMD3,304.469,145,14.458296,3.633064e-38,1334
CCT8L2,303.09143,146,-1.0827316,0.28120473,17763
NOTCH3,301.73914,147,-1.188372,0.23678458,17490
EIF1AY,298.70212,148,0.29452592,0.7689194,20013
RAB30,297.56412,149,-1.4808359,0.14038523,16723
LMLN,296.5844,150,7.776211,1.5523688e-12,6878
DDX46,295.44955,151,2.2794907,0.024273494,14936
HOMEZ,293.46338,152,5.2279043,5.153472e-07,9966
HNRNPKP3,293.4287,153,4.9274836,2.9420046e-06,10483
HNRNPU,291.82898,154,14.165991,2.1991848e-29,2402
NUDT16P1,289.92685,155,-0.25734064,0.79716945,20118
THAP7-AS1,289.422,156,-6.1024246,1.45326196e-08,8919
CAPN10,289.23303,157,1.3105794,0.1925132,17167
NID2,288.67828,158,7.3393917,1.2888259e-11,7282
PTPRVP,288.09912,159,-4.5355086,1.5743572e-05,11068
SPOCK3,278.94952,160,-8.170527,1.0747345e-12,6813
AP2S1,276.54565,161,20.869635,0.0,729
C19orf66,274.46063,162,0.2184651,0.82736236,20225
SETMAR,274.04572,163,-9.741005,8.024055e-17,5281
HOOK3,273.49188,164,-6.979181,1.9543979e-10,7885
BANF2,273.47656,165,-1.5082123,0.13431907,16663
ARL6IP5,272.43674,166,-9.016191,6.7415996e-15,5953
NAV1,272.21674,167,-1.2462798,0.21515793,17343
SELK,271.98926,168,-2.5616367,0.011292409,14328
KRT12,271.8988,169,-0.11062624,0.9121166,20524
PML,270.79968,170,-7.2504563,2.502706e-11,7415
TGFBI,267.62814,171,2.4707878,0.014713542,14528
L3MBTL3,266.1771,172,-4.5593,1.1075842e-05,10940
HDAC9,265.6103,173,-4.374935,2.5495336e-05,11244
