gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
ACTB,3438.2212,1,8.776667,3.201288e-15,5566
RPS6,3385.203,2,-8.582208,4.1617588e-14,5953
ACTG1,3360.483,3,14.467062,9.95063e-31,1971
RPL23AP7,3190.1343,4,-7.3010283,3.1468567e-11,7193
RRAGB,3182.1846,5,-4.032204,9.158203e-05,11531
RPS6KC1,3173.3164,6,6.969515,6.828799e-11,7359
GNG5,3161.5566,7,17.87611,0.0,868
EFCAB3,2841.51,8,-1.4006679,0.16411164,16816
RPP14,2669.384,9,-6.0462985,1.8590715e-08,8740
UBE2I,2385.451,10,13.357407,4.837426e-30,2072
PGC,2324.8765,11,-0.10429012,0.91714305,20524
CFLAR-AS1,2213.0806,12,-6.9855676,3.30055e-10,7718
RPRM,1941.2345,13,0.8339747,0.40548563,18354
RPRML,1839.2058,14,-1.9142536,0.057794083,15548
RPL23AP53,1757.1812,15,-7.487867,2.1410707e-11,7118
PABPN1L,1431.7133,16,1.1103379,0.26894763,17563
ALDOA,1419.2487,17,16.509436,9.897301e-35,1497
HSPB9,1407.7893,18,-0.9361962,0.350884,18062
OCIAD2,1371.4021,19,16.012247,1.304246e-35,1404
PTPN11,1295.1038,20,-9.319422,3.2982525e-15,5575
CD82,1275.4252,21,-4.34294,2.7906484e-05,11046
ANXA2P2,1270.7354,22,-3.7543416,0.00028443866,12025
PLA2G15,1184.8655,23,4.5431323,1.2529491e-05,10741
ENOX2,1082.9744,24,-5.611322,1.2112167e-07,9276
PGAP1,1081.9558,25,-11.825686,1.2707381e-21,3721
TMCO2,971.1477,26,1.9347408,0.05531454,15506
CP,908.85614,27,-5.255358,5.8432965e-07,9752
CAPNS2,854.73267,28,-0.5040777,0.614793,19337
BTF3L4,830.482,29,4.4546604,1.9234998e-05,10902
RPRD1B,816.0198,30,1.8125421,0.07186535,15775
RHOXF1,811.81665,31,-16.302353,2.526061e-29,2191
ARF1,796.282,32,34.40092,0.0,29
ZBED2,791.3168,33,12.077262,7.8069354e-26,2787
OTOP1,772.7978,34,1.1585783,0.24790947,17430
TPRG1,771.9398,35,0.4100846,0.6820253,19607
GLYCTK,733.05994,36,-8.242144,8.375586e-13,6517
NCR2,722.76294,37,0.6528748,0.5149852,18904
GRAMD2,690.91125,38,-6.8287396,5.833107e-10,7856
PPIP5K1,690.52893,39,-1.2541076,0.21197191,17190
ELAC1,687.76227,40,-19.920706,0.0,717
CYC1,669.0216,41,11.489663,5.455726e-22,3631
HNRNPH3,663.8364,42,-8.435221,1.1804067e-13,6120
AES,652.33826,43,2.1508133,0.03290943,15043
MARVELD2,650.4376,44,7.143627,6.029006e-11,7329
PCDH18,644.5013,45,-16.930714,2.1708903e-32,1761
CD160,639.7988,46,-7.16906,7.98391e-11,7390
MRP63,626.1861,47,7.080572,6.1022395e-11,7332
PARP4,622.4209,48,-4.9844756,2.1300816e-06,10160
SERPINA10,617.87854,49,1.1535269,0.25047657,17441
LARP7,616.4169,50,-4.306113,3.4484e-05,11128
ATP5G2,608.5067,51,3.9498649,0.00013585231,11702
HIRA,607.61633,52,-8.535944,1.6861487e-14,5795
CAP1,593.3957,53,8.691863,1.85797e-15,5482
FLJ46066,585.87476,54,0.13559496,0.8923651,20417
SNW1,553.0112,55,-0.019051565,0.9848247,20799
ARPC2,552.219,56,7.589726,3.2803545e-12,6751
ATP6V0E1,549.1195,57,6.841241,2.8804992e-10,7689
RPS12,545.6848,58,-9.399237,1.645386e-16,5154
USHBP1,542.1251,59,-21.853928,0.0,527
TMEM106C,541.5421,60,9.590029,1.02877346e-16,5076
MYLK2,540.9125,61,11.867946,4.799591e-24,3158
DDX55,532.8782,62,2.1307678,0.035181988,15099
DYRK3,518.8324,63,-8.095974,5.471046e-13,6425
PGPEP1,518.69434,64,-5.0578322,1.2815112e-06,10003
PSTK,518.6577,65,-2.5253584,0.012938113,14271
ARHGDIA,511.0821,66,13.8733015,2.328405e-31,1897
CCNI2,499.23444,67,10.712399,4.6295053e-22,3612
GARS,490.3532,68,20.009169,0.0,708
COPS2,482.82837,69,-9.033737,3.9221594e-15,5601
GUSBP4,478.64133,70,-7.023395,2.0920778e-10,7622
RPL29,476.4743,71,-4.174017,6.114348e-05,11370
RIBC2,476.43658,72,13.735157,4.332313e-26,2729
GNG13,476.20166,73,19.81739,0.0,729
KDM4A,475.95886,74,3.5141833,0.00060781575,12410
ELAVL2,475.1109,75,16.270056,0.0,954
FLCN,470.38562,76,-9.010358,4.355173e-15,5616
ARL6IP1,470.30383,77,20.741709,0.0,635
PTK2,469.97925,78,12.740608,1.9316084e-31,1883
TMEM11,467.4098,79,-3.695733,0.00031327194,12074
VCAM1,466.277,80,-2.2041557,0.029257372,14942
TMCC1,462.8109,81,2.1861796,0.03036365,14972
ARF5,462.2376,82,18.055668,0.0,853
SERBP1,457.96585,83,-3.7570565,0.00026315008,11989
HDX,457.17456,84,-4.936383,2.5995898e-06,10236
C11orf16,454.23224,85,2.7164795,0.0073243002,13871
CCT4,453.97156,86,1.7921071,0.07511766,15809
DDX11L1,451.84317,87,-0.2607128,0.7947942,20060
ZBP1,450.3066,88,6.8569894,1.8009665e-10,7587
GNB2,437.67035,89,11.666316,9.634133e-22,3696
PDLIM7,436.6178,90,1.0247005,0.30746436,17814
PDPN,432.90448,91,-5.46504,2.4890315e-07,9478
C1orf49,427.9572,92,2.290432,0.022920007,14721
