feature_set,classifier,n_folds,auc_mean,auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,n_features_mean,n_features_std
Euclidean_top200_train,LogisticRegression,5,0.9990513833992095,0.0020125137736127898,0.9977179113792387,0.0032306958447855844,0.9958847736625515,0.0058198088986547245,200.0,0.0
Euclidean_top200_train,RandomForest,5,0.9997628458498025,0.0005302928009880894,0.9963656510277932,0.0047235820505810875,0.9934156378600824,0.008533514960217176,200.0,0.0
H2C_train_rule_top37,LogisticRegression,5,0.7391840895677213,0.042623832330220705,0.9494112336377137,0.0025909656129968275,0.9037037037037038,0.004692079938679559,37.0,0.0
H2C_train_rule_top37,RandomForest,5,0.9928669540178493,0.009859334458842343,0.9812853836463944,0.005726522560183251,0.9654320987654319,0.010731197374819177,37.0,0.0
Latent_32d_fixed_unsupervised,LogisticRegression,5,0.9396984601076674,0.013986299458690727,0.9589593351776617,0.004096832142474256,0.922633744855967,0.007915795910152826,32.0,0.0
Latent_32d_fixed_unsupervised,RandomForest,5,0.9328691002092537,0.009647331674347129,0.9588238015607893,0.006902938391517118,0.9234567901234568,0.013207248177679987,32.0,0.0
TDA_top200_train,LogisticRegression,5,0.9994861660079051,0.0007341571391702214,0.9958997295610569,0.004073474090623324,0.9925925925925926,0.007361540666665993,200.0,0.0
TDA_top200_train,RandomForest,5,0.9992441829270474,0.0007007039558086535,0.993242153304449,0.004493142566075194,0.9876543209876545,0.008230452674897137,200.0,0.0
